prescreen,method,seed,value,ratio,where_wrong,when_error,oracle_value
0,随机,0,3014.345750162103,0.4383708387256772,2555.3740301693533,1306.5262740928297,6876.246054424286
0,随机,1,3063.1868900451814,0.4454737171707633,2276.2140374015007,1536.8451269776037,6876.246054424286
0,随机,2,2711.4650088200738,0.39432344150562704,2742.6172336679538,1422.1638119362583,6876.246054424286
0,随机,3,2930.769275333014,0.4262164634797079,2744.8699511220884,1200.6068279691835,6876.246054424286
0,随机,4,2538.2981333246244,0.3691400966798509,2829.553948256306,1508.3939728433556,6876.246054424286
0,冻结场 + 贪心（仅当期信息）,0,5098.591520874743,0.7414789233137212,448.2634128475311,1329.391120702012,6876.246054424286
0,完美预报 + 贪心（加入未来时间信息）,0,6273.387776382639,0.9123274133487764,56.0941980722273,546.76407996942,6876.246054424286
0,oracle（加入跨年协调）,-1,6876.246054424286,1.0,0.0,0.0,6876.246054424286
20,随机,0,4926.56987497969,0.716462127152919,388.2343005622979,1561.4418788822977,6876.246054424286
20,随机,1,5009.564836772671,0.7285319340120817,653.4936028203247,1213.1876148312904,6876.246054424286
20,随机,2,5687.1288115730395,0.82706883473343,334.1844288156126,854.9328140356338,6876.246054424286
20,随机,3,5098.096966490832,0.7414070011660847,765.837601485443,1012.3114864480112,6876.246054424286
20,随机,4,5067.73668546649,0.7369917605269269,658.1225801642149,1150.3867887935812,6876.246054424286
20,冻结场 + 贪心（仅当期信息）,0,5325.8071653376965,0.7745224826431258,342.4076720434223,1208.031217043167,6876.246054424286
20,完美预报 + 贪心（加入未来时间信息）,0,6144.307173448044,0.8935554552319573,124.31574724035272,607.6231337358895,6876.246054424286
20,oracle（加入跨年协调）,-1,6876.246054424286,1.0,0.0,0.0,6876.246054424286
