seed,n,全局秩相关,年内秩相关,年内极差均值,年份间落差
0,30000,0.8822984682776538,0.8164079895298992,139.5045316754282,1785.61674095592
1,30000,0.8830042660901832,0.8251382349564759,139.28968397598132,1779.095950528922
2,30000,0.8827132108744631,0.8130033196499374,147.80875366579482,1812.4706231989896
3,30000,0.8818704215590728,0.8250497909427885,140.7251075481929,1762.6615431385558
4,30000,0.8824757829914603,0.8068059203153333,143.44749556911339,1795.0082868206982
