prescreen,method,n,相对oracle,标准差,挑错单元,放错年份
0,随机,5,0.41470491151232525,0.03213591453329035,2629.7258401234403,1394.9072027638463
0,冻结场 + 贪心（仅当期信息）,1,0.7414789233137212,,448.2634128475311,1329.391120702012
0,完美预报 + 贪心（加入未来时间信息）,1,0.9123274133487764,,56.0941980722273,546.76407996942
0,oracle（加入跨年协调）,1,1.0,,0.0,0.0
20,随机,5,0.7500923315182885,0.04406893281309256,559.9745027695786,1158.4521165981628
20,冻结场 + 贪心（仅当期信息）,1,0.7745224826431258,,342.4076720434223,1208.031217043167
20,完美预报 + 贪心（加入未来时间信息）,1,0.8935554552319573,,124.31574724035272,607.6231337358895
20,oracle（加入跨年协调）,1,1.0,,0.0,0.0
