alpha,seed,method,value,ratio,oracle_value,where_recall,where_jaccard,when_mae,when_hit1,n_init,n_overlap,actual_reward,q_vs_value_rho,n_samples,q_gap
0.0,0,随机,988.3519714384277,0.8573813843273805,1152.7565089528905,0.7777777777777778,0.6363636363636364,3.0,0.2857142857142857,18,14,,,,
0.0,1,随机,990.8093089194139,0.8595130899060532,1152.7565089528905,0.7222222222222222,0.5652173913043478,2.923076923076923,0.3076923076923077,18,13,,,,
0.0,2,随机,1065.0520115234274,0.9239175864561981,1152.7565089528905,0.8333333333333334,0.7142857142857143,2.933333333333333,0.3333333333333333,18,15,,,,
0.0,3,随机,990.8367294930467,0.8595368768666298,1152.7565089528905,0.7777777777777778,0.6363636363636364,2.642857142857143,0.35714285714285715,18,14,,,,
0.0,4,随机,1016.1918331814353,0.8815320714211329,1152.7565089528905,0.7222222222222222,0.5652173913043478,1.6153846153846154,0.6153846153846154,18,13,,,,
0.0,-1,纯空间排序,1152.75650895289,0.9999999999999996,1152.7565089528905,1.0,1.0,0.1111111111111111,1.0,18,18,,,,
0.0,-1,时间感知贪心,1152.75650895289,0.9999999999999996,1152.7565089528905,1.0,1.0,0.1111111111111111,1.0,18,18,,,,
0.0,-1,oracle,1152.7565089528905,1.0,1152.7565089528905,1.0,1.0,0.0,1.0,18,18,,,,
0.0,0,Double-FQI,1152.75650895289,0.9999999999999996,1152.7565089528905,1.0,1.0,0.1111111111111111,1.0,18,18,1152.7565089528905,0.6846327560453506,8640.0,22.14017812735181
0.0,1,Double-FQI,1152.75650895289,0.9999999999999996,1152.7565089528905,1.0,1.0,0.1111111111111111,1.0,18,18,1152.7565089528905,0.677000673233412,8640.0,22.34860425851651
0.0,2,Double-FQI,1152.75650895289,0.9999999999999996,1152.7565089528905,1.0,1.0,0.1111111111111111,1.0,18,18,1152.7565089528905,0.6776539251474736,8640.0,22.545792766938266
0.0,3,Double-FQI,1152.75650895289,0.9999999999999996,1152.7565089528905,1.0,1.0,0.1111111111111111,1.0,18,18,1152.7565089528905,0.672008614254384,8640.0,22.58813553586571
0.0,4,Double-FQI,1152.75650895289,0.9999999999999996,1152.7565089528905,1.0,1.0,0.1111111111111111,1.0,18,18,1152.7565089528905,0.6817207169647841,8640.0,22.46773347898801
0.25,0,随机,825.1428015326795,0.7719927965353716,1068.8477991450698,0.7777777777777778,0.6363636363636364,2.642857142857143,0.35714285714285715,18,14,,,,
0.25,1,随机,833.7707668689469,0.7800650078859198,1068.8477991450698,0.7222222222222222,0.5652173913043478,3.076923076923077,0.23076923076923078,18,13,,,,
0.25,2,随机,880.1114319984326,0.8234207271628382,1068.8477991450698,0.8333333333333334,0.7142857142857143,3.2,0.3333333333333333,18,15,,,,
0.25,3,随机,805.9782976316138,0.7540627377221386,1068.8477991450698,0.7777777777777778,0.6363636363636364,2.642857142857143,0.2857142857142857,18,14,,,,
