lead,seed,gamma,ent_c,lr,epochs,reward_at,iters,ramp_years,foresight,lo,hi,A_init,B_init,C_init,ret,opt,ratio,opt_A,opt_B,opt_C,pass_wait,pass_opt,pass_now,pass_ret,curve_last,label,shaping
1,0,0.95,0.01,0.003,4.0,done,300.0,3.0,3.0,0.3,3.0,0.0,1.0,2.0,232.27433725913053,311.7514645904776,0.745062537442287,8,0,1,False,False,False,False,268.54171342193206,amp_big,False
1,1,0.95,0.01,0.003,4.0,done,300.0,3.0,3.0,0.3,3.0,0.0,1.0,2.0,232.27433725913053,311.7514645904776,0.745062537442287,8,0,1,False,False,False,False,269.2146422397981,amp_big,False
1,2,0.95,0.01,0.003,4.0,done,300.0,3.0,3.0,0.3,3.0,0.0,1.0,2.0,232.27433725913053,311.7514645904776,0.745062537442287,8,0,1,False,False,False,False,282.104982101564,amp_big,False
1,0,0.95,0.05,0.003,4.0,done,200.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,ent05,False
1,1,0.95,0.05,0.003,4.0,done,200.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,ent05,False
1,2,0.95,0.05,0.003,4.0,done,200.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,ent05,False
1,0,0.95,0.05,0.003,4.0,done,1000.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,ent05_it1000,False
1,1,0.95,0.05,0.003,4.0,done,1000.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,ent05_it1000,False
1,2,0.95,0.05,0.003,4.0,done,1000.0,,,,,2.0,0.0,1.0,209.6175,281.97995,0.7433773216854603,4,0,1,False,,True,False,230.0,ent05_it1000,False
1,0,0.95,0.2,0.003,4.0,done,200.0,,,,,0.0,2.0,1.0,205.91249999999997,281.97995,0.7302380896230387,4,0,1,False,,False,False,230.0,ent20,False
