tag,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
rl_a0_s0,-141.58627112193832,2099.729434196956,0.0,-282.9297816357928,2113.1225211347387,282.9297816357927,-2120.3275412775006,2211661.4724712,-2404.9027672161906,-2544.500780823773,-3.625855664529051
rl_a0.15_s3,-89.12627295164152,2057.225393631762,-74.36943034750388,-242.91701494535195,2565.440378979681,205.07585719640977,-2005.461617781726,2171441.845102197,-2396.442326247537,-1896.5454641671524,-4.728689454843092
rl_a0_s1,-134.00374173722895,1396.5901335096037,0.0,-190.63355389382596,1327.9560455405067,180.02277958230417,-1273.216009674898,1330622.206178905,-1525.0684311506077,-1222.9490919504146,-2.8913221261358912
rl_a0.15_s1,-187.35915100521296,2113.6947919748263,-36.9930516013841,-287.51303500177255,2138.0195271461725,264.0193489209225,-1970.6848786487703,2081839.4521393764,-2368.9353479806473,-3239.076005867747,-5.405148859370492
rl_a0.15_s0,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,1822921.6992451572,-2072.7606239876063,-2809.0406401906976,-2.719614781225298
rl_a0_s2,-188.2059208527097,2353.562043948953,0.0,-320.57311324433465,2310.825570734148,311.9398881957722,-2157.061760530688,2237600.330445456,-2564.584905954677,-1423.5370422783658,-3.3681618072584305
rl_a0_s3,-244.4540948854786,1929.3704455082548,0.0,-267.1896332491666,1659.639295951488,201.61728450899585,-1193.4688301590973,1922640.1213064797,-2171.95940842302,-6029.868566805784,-2.4102932574385747
rl_a0.15_s2,-159.06887180394756,2113.213282499481,0.0,-287.0685168523722,2126.7927041141775,287.0685168523722,-2635.165527866309,2003738.2476295584,-2296.548134818978,0.0,-1.5411392420358554
rl_a0_s4,-78.36648945676875,2006.424180216344,-28.757963865405525,-237.05795021437203,2102.0823160226037,264.9083252765466,-1976.5249387537333,2026445.5529916184,-2288.9554201595756,-1466.939638557864,-3.4121526163543123
rl_a0.15_s4,26.90659999803892,1905.386897156361,0.0,-208.5650033167444,2157.512760708149,208.5650033167444,-2327.8913980658185,1887735.5812344416,-2201.417741385971,-648.3780605204684,-1.5624843930926091
rl_a0.3_s0,1139.6767333867858,820.3473891865048,0.0,224.97590913908044,2717.9603869011826,-215.23976476294305,-966.2353420560185,1534335.7003285284,-2024.7831822517237,-2113.3020495272494,-1.9713957080525175
rl_a0.3_s4,2188.135185097031,575.7244272832859,-1729.4975871450065,993.1558559724068,6455.466088227559,91.99430500201107,-722.3290314193964,2219784.3689616895,-2532.419243120885,-9089.66480991014,-3.0060957321432347
rl_a0.3_s1,2032.1928369906104,750.261177097704,-1716.8009425252062,958.0461059546378,5682.441346754085,400.7656830954578,-1125.1397474457656,2287158.4225726607,-2574.280944730451,-11667.95554988904,-2.9316108158912355
rl_a0.3_s2,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,1830188.0564339785,-2077.6373737787617,-2867.244882532517,-2.8405312423374256
rl_a0.5_s0,2193.351481256913,0.0,-1941.031219986565,1115.2521222317869,4250.318493836925,464.151796323007,-302.5239598900108,2740275.782854992,-2476.9440733239744,-16178.938997874944,-4.7982090448916415
rl_a0.3_s3,795.0828370357165,1212.3371572167575,0.0,90.54601769059587,1954.8145677731784,-157.87622346875168,-1604.1295241178934,1737388.1433927014,-2194.45714085509,-10350.951245025222,-1.3129329461869024
rl_a0.5_s1,1865.432807409729,321.43930888594554,-719.2827369896,809.4054424811821,2396.1214304191644,74.51311991365746,-413.37944781582337,1658784.01662984,-2045.2653777512824,-10099.485894992298,-2.1756514695164393
rl_a0.5_s2,2010.6240821779984,717.6324711775534,-1901.4098013979192,947.9865110835937,5776.755385585359,193.09266531317428,-1070.0485658149084,2259019.817015511,-2499.715597510897,-9864.032698697303,-3.5791851052600605
rl_a0.5_s4,686.8327729803034,1283.1803093456367,0.0,51.94549946225659,2032.7047560107203,-40.66440654362195,-1327.7736707025113,1621219.6638444704,-2031.6351912032144,-1614.7081339198735,-2.369605513896514
rl_a0.5_s3,1085.0642536211876,788.9685636894549,0.0,214.19572539021084,2506.5462161922387,-202.57653418058203,-750.6019559196037,1460814.8471612376,-1927.7615285118975,-1223.436705054026,-2.0595476542139712
rl_a0.7_s0,2617.041177656477,0.0,-1907.8090795973735,1327.0109704291413,3631.605089168853,1091.5626942824038,-372.45694816273215,1977246.3459394209,-2247.586362896778,-26199.52013776369,-2.1732578432068537
rl_a0.7_s2,2802.7456270284542,0.0,-2212.796983505642,1417.773753898682,5657.006388283834,64.31688227875841,-349.8019491733529,2135831.8526969394,-2387.900202828728,-18676.5836637745,-4.59250399567867
rl_a0.7_s1,1912.7218026062255,44.43987035716879,-1354.508362385371,965.060005890287,2823.0977714878095,586.8470463156846,-284.0552869014394,1918463.0193298904,-1955.6031965989027,-15564.871665540044,-4.19834204821184
rl_a0.7_s4,2368.1963084044496,0.0,-1767.092344118885,1198.9184666291535,2986.826488622858,939.6596600644936,-288.32158132183946,1808952.4665479895,-2038.537236253295,-24960.662483231416,-2.8489426732611274
rl_a0.7_s3,787.6695324055754,124.90792552665744,-282.32566471366334,342.81957868628746,641.9056082258265,-308.06733156038365,-295.1936090618517,695076.642923238,-860.0479385538571,-12227.648865149062,-5.403290218341646
rl_a0.85_s1,2653.2728701119877,0.0,-2193.3670374074,1348.2449093671446,4916.744882684365,912.1273627648524,-411.0887294149778,2039481.0028015363,-2259.32288475726,-22243.79670534204,-3.2023724913147
rl_a0.85_s0,2677.9618299881126,0.0,-1971.9698713561736,1354.569189880376,3682.4660105293938,502.3120903615807,-292.2930593738341,2041274.6124576195,-2305.5858933766085,-24111.18952486206,-2.938330078376242
rl_a0.85_s3,2748.355962883245,0.0,-1113.111998443786,1384.0748733679995,692.668971332311,-667.6864814854188,-887.6182890563217,2062271.56131832,-2490.3594221041685,-22498.1465539352,-5.352344198331912
