tag,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
rl2L_a0_s1,-221.08617758004203,1770.6858666002488,0.0,-242.18184096466092,1339.4788491322158,139.7569747394245,-934.8312562860008,4770746.307105929,-1937.4547277172871,-5019.15632910164,-2.0108190558689403
rl2L_a0.15_s0,-141.40701720805197,1978.454308096682,0.0,-260.41710500599885,1974.7225292679336,251.53648484782929,-2053.0843278961593,5568997.887619334,-2184.567898870709,-1978.956832323347,-4.033839594652235
rl2L_a0.15_s1,-203.21619838380676,1913.1567978804744,0.0,-264.3657886516522,1684.8062103167072,206.347974471436,-1456.758849367485,5361727.295543575,-2142.3305757338053,-4535.73686275246,-2.002553372062944
rl2L_a0_s4,-156.85186574517604,2107.280111696852,0.0,-283.54252635154256,2080.0485686976035,276.69119272805966,-2026.6217331347284,6390096.133517976,-2362.0885511917745,-1723.724788985358,-4.83334784783594
rl2L_a0.15_s2,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,5504108.071124337,-2077.6373737787617,-3569.4539172348623,-2.432728519337469
rl2L_a0_s3,1090.3179571094977,779.0018581880182,0.0,215.27374376509775,2592.8933734315606,-206.1618233622249,-937.6818590935584,4244023.654965819,-1937.46369388588,-2229.8949476930893,-2.124507002808666
rl2L_a0_s0,-132.9445841608287,2266.0410374811568,-12.33101720046137,-290.32982514322725,2316.350819470588,297.97505580752767,-2666.6617595195776,6928637.302048626,-2546.611827176848,-1829.996693906709,-3.053716549541412
rl2L_a0_s2,-167.35695681189986,2356.879109766499,0.0,-319.8855985854307,2361.0447644375968,319.88559858543067,-2299.778378070039,6755013.191981015,-2559.084788683446,0.0,-2.52546618983203
rl2L_a0.15_s3,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,6039049.030369711,-2296.548134818978,0.0,-1.5411392420358554
rl2L_a0.3_s2,35.254398913373095,2023.700392009734,-35.52668496349539,-208.8676326287216,2356.0118959732517,213.97585801239015,-2075.42674648609,6008895.271155385,-2385.8965641605205,-3931.794426083327,-4.683815179549782
rl2L_a0.15_s4,-159.62075110669502,2091.541341859861,0.0,-284.0997390530917,2104.982182218518,284.0997390530917,-2606.1794508912944,5982217.264663504,-2300.202178945321,-914.2186763240704,-2.0739077178225083
rl2L_a0.3_s1,-163.92811887682385,2159.0255515785066,0.0,-291.7403071720498,2172.828067042747,291.7403071720498,-2693.638480619512,6309709.065246843,-2371.3795919489157,-1304.5427925680456,-2.724460908965631
rl2L_a0.3_s0,-66.94890961103992,2154.2464685909235,-33.09165176845987,-250.36762209173656,2267.2873956919057,279.85853038006354,-2397.646396289543,6621581.421128718,-2447.1231676894304,-2046.9143272702545,-2.5257763442695964
rl2L_a0.3_s4,-131.8520259957737,2121.7484454756486,-3.901399832924236,-278.3312715967015,2155.137127904002,281.06225147975414,-2469.361712029952,6348235.824903673,-2366.3920683397896,-1009.4447613322106,-2.923952875484575
rl2L_a0.5_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5244202.024316314,-1248.5471077857574,-26198.01132360542,-5.294843571920049
rl2L_a0.3_s3,1303.6772028913654,935.4914382119056,0.0,257.1109443252015,2477.960004132365,-209.9504191058404,-1821.133363454829,5207800.053308317,-2313.9984989268137,-9625.636087172434,-1.7916042815819289
rl2L_a0.5_s1,2808.8807640042132,14.850720701293811,-2267.0446629743005,1418.0688049219737,4531.416787327618,16.362932973303195,-426.7628381844197,6380129.685102741,-2383.135864856956,-22385.34807227707,-4.682450198904496
rl2L_a0.5_s2,0.0,0.0,-17.864304498126767,0.0,3.6782726138649617,-7.453727049218408,5.991071718174996,8222650.243529973,-2011.8285112016104,-14718.070623675843,-2.82679118956597
rl2L_a0.5_s3,1251.6668091348772,930.0440097558768,0.0,251.6602125302501,1661.4348768732846,-179.14288118408376,-1293.743096941934,5231095.498445046,-2245.8718269206156,-18681.553568368756,-3.827930105812699
rl2L_a0.5_s4,-267.9016191630902,2178.080183468715,0.0,-300.04645842052776,1723.8100216260889,195.5369645943893,-1183.2011801753288,6342209.740847997,-2434.4062474856532,-7823.252845746046,-4.791867518540008
rl2L_a0.7_s0,1428.5433761371405,0.0,-1145.4430965777524,719.750635297089,405.17264805831735,-221.45609343585744,-246.26444309397297,3238442.7956392327,-1200.610712144747,-24240.70201816642,-6.0800683952482775
rl2L_a0.7_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9660993.53463084,-2199.3217564792385,-33323.75250872371,-3.3143215884828776
rl2L_a0.7_s2,53.78051972311984,134.06238187027915,0.0,19.73983299186751,133.10436022091346,-19.73983299186751,46.888307303294766,10326427.61402716,-2580.1561551277405,-5292.073791201203,-3.5080899871400306
rl2L_a0.7_s3,262.9158533356466,0.0,-264.3484208852539,132.17421044262693,50.23213688883887,26.892947994854943,-17.28226592485992,5436159.910203293,-1179.8564759525564,-46584.60210033674,-4.742224832751626
rl2L_a0.85_s0,826.0304081254384,-2296.4582824561785,0.0,821.712845397247,-2305.793616537439,-821.7128453972467,-2868.6802696361674,5708385.206788611,-2228.648691537196,-1512.4500573838536,-2.3142859086950143
rl2L_a0.7_s4,28.90651194258327,72.05724047546592,0.0,10.609970321255869,71.54231305581257,-10.609970321255869,25.20201407513617,9126795.312135942,-2320.10241591137,-9219.390992475575,-3.959939068873253
rl2L_a0.85_s1,0.0,0.0,129.20009696013645,0.0,-1.427377372012191,-79.18220580572199,-31.025020837263508,10114415.7306648,-2395.560969622904,-39671.4306796828,-3.875517910239206
rl2L_a0.85_s2,0.0,0.0,224.3933415659738,0.0,44.569553360061384,85.51660325878004,-124.16486068259528,4227993.597846095,-1081.7952530170828,-28074.368864727625,-6.027790201842269
rl2L_a0.85_s3,264.221795622925,0.0,-270.5978204087895,135.29891020439476,370.4682205420048,225.1683497882597,-38.18032867457801,586431.1517226644,-216.4782563270317,-4478.302619420278,-0.6983372960937497
rl2L_a0.85_s4,2400.74913710514,0.0,-1642.126566000807,1218.5038648812856,2593.294205704752,1290.7537368551011,-386.1940849823896,5208324.9076882005,-2082.0863777703516,-20259.628167131596,-2.0130365201750187
rl2L_a1_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl2L_a1_s1,1731.6323766443638,0.0,-1312.1055868161145,871.9495225437946,353.67953194597214,1009.718307800343,-272.4388892815301,6381144.492318801,-2012.2270868871017,-27569.603828199528,-2.071950130220341
rl2L_a1_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12217670.19118536,-2485.8730025445534,-62928.74414678713,-4.588458345666252
rl2L_a1_s3,2156.854104729264,0.0,-1877.364704530964,1086.0294572172536,431.9292707719349,610.6343865300291,-283.9215972070334,5415501.132054409,-1922.8454861169953,-39472.44504737092,-5.828491167047048
rl2L_a1_s4,1802.344537643966,0.0,-1202.0809047609976,907.4097808933324,869.1691814075602,402.4427460967439,-300.74601262613544,6331908.776077259,-2136.076566122424,-22825.804198632777,-2.182884707331599
rl2O_a0.15_s2,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,6335562.216352634,-2379.1823916147646,-1066.044803356514,-1.9542441740964445
rl2O_a0.15_s0,-248.54065324560375,2005.042820754191,0.0,-272.08659877788375,1716.551797049689,202.87283013460737,-1313.5939418628143,5717821.116703674,-2209.2304775764524,-4847.385367838486,-2.047684207307418
rl2O_a0_s3,-244.4540948854786,1929.3704455082548,0.0,-267.1896332491666,1659.639295951488,201.61728450899585,-1193.4688301590973,5929329.199949825,-2171.95940842302,-6029.868566805784,-2.4102932574385747
rl2O_a0_s0,-141.58627112193832,2099.729434196956,0.0,-282.9297816357928,2113.1225211347387,282.9297816357927,-2120.3275412775006,6849306.651735443,-2404.9027672161906,-2544.500780823773,-3.625855664529051
rl2O_a0.15_s1,41.4169116042951,1506.9242389517294,0.0,-133.97981141678605,1657.9078358073252,135.33897061329762,-2298.8996305151895,5561260.268458834,-2122.503269783673,-2587.593903294569,-3.1741333156310345
rl2O_a0_s4,-78.36648945676875,2006.424180216344,-28.757963865405525,-237.05795021437203,2102.0823160226037,264.9083252765466,-1976.5249387537333,6161372.168645756,-2288.9554201595756,-1466.939638557864,-3.4121526163543123
rl2O_a0_s2,-188.2059208527097,2353.562043948953,0.0,-320.57311324433465,2310.825570734148,311.9398881957722,-2157.061760530688,6650893.99654018,-2564.584905954677,-1423.5370422783658,-3.3681618072584305
rl2O_a0.15_s3,-188.2059208527097,2353.562043948953,0.0,-320.57311324433465,2310.825570734148,311.9398881957722,-2157.061760530688,6650893.99654018,-2564.584905954677,-976.2542042419705,-2.950989599580568
rl2O_a0_s1,-134.00374173722895,1396.5901335096037,0.0,-190.63355389382596,1327.9560455405067,180.02277958230417,-1273.216009674898,4100250.317422144,-1525.0684311506077,-1222.9490919504146,-2.8913221261358912
rl2O_a0.15_s4,399.5428236234314,1944.095970335395,-380.1190321290198,7.964072912837335,2977.8075156816863,148.15427146328673,-2172.988071160788,6714962.028982212,-2591.488415960947,-7511.838151960757,-4.293534964861756
rl2O_a0.3_s0,1671.5033234960124,650.5467780795499,-842.2235965231614,605.873634626315,3993.240369303387,-193.0778661152066,-597.7382937175296,5359008.270710073,-2124.985047727421,-6050.131999045609,-2.69672475885772
rl2O_a0.5_s1,1966.521063536424,88.72550126175797,-1199.257701783788,967.9927951727155,3442.4165885694665,213.17597821472208,-320.43628181887914,5100878.167430077,-1923.483680810204,-15695.8636822502,-1.6739503266678226
