α,seed,均立项年,盲区率,可交付率,预算利用
0.15,0,7.0,0.4666666666666667,0.4,0.9654585945797787
0.15,1,7.375,0.5,0.3333333333333333,0.9795960701621529
0.15,2,6.583333333333333,0.4166666666666667,0.4166666666666667,0.7221188846623385
0.15,3,7.285714285714286,0.47619047619047616,0.38095238095238093,0.9781388372137676
0.15,4,7.0,0.4666666666666667,0.4,0.9372596421855822
0.3,0,7.0,0.4666666666666667,0.4,0.9654585945797787
0.3,1,6.9,0.45,0.4,0.9640248551449804
0.3,2,7.285714285714286,0.47619047619047616,0.38095238095238093,0.9781388372137676
0.3,3,7.363636363636363,0.5151515151515151,0.36363636363636365,0.9811092159619509
0.3,4,7.0,0.4666666666666667,0.4,0.9933333333333333
0.5,0,7.3076923076923075,0.5,0.4230769230769231,0.9803688231834212
0.5,1,7.103448275862069,0.4827586206896552,0.3793103448275862,0.9669344893548885
0.5,2,7.0,0.4838709677419355,0.3548387096774194,0.9690550397452469
0.5,3,6.813953488372093,0.4418604651162791,0.4186046511627907,0.8944003933643117
0.5,4,7.074074074074074,0.5185185185185185,0.37037037037037035,0.9735415972648873
0.7,0,6.230769230769231,0.38461538461538464,0.46153846153846156,0.8367283088825556
0.7,1,7.419354838709677,0.4838709677419355,0.3548387096774194,0.9840930124487761
0.7,2,6.32,0.48,0.4,0.8876690806069569
0.7,3,7.818181818181818,0.5454545454545454,0.2727272727272727,0.9883459265426479
0.7,4,6.583333333333333,0.4166666666666667,0.4583333333333333,0.9883335987683813
0.85,0,4.0,0.0,1.0,0.003950617283950617
0.85,1,7.863636363636363,0.5454545454545454,0.2727272727272727,0.9868600860466218
0.85,2,7.678571428571429,0.5357142857142857,0.2857142857142857,0.978228663446055
0.85,3,5.588235294117647,0.29411764705882354,0.5294117647058824,0.6315735938321696
0.85,4,6.888888888888889,0.4444444444444444,0.4444444444444444,0.9700011488296283
0.0,0,7.285714285714286,0.47619047619047616,0.38095238095238093,0.9781388372137676
0.0,1,7.1875,0.5,0.375,0.9562949937678945
0.0,2,5.862068965517241,0.3448275862068966,0.5517241379310345,0.8355502690743324
0.0,3,7.285714285714286,0.47619047619047616,0.38095238095238093,0.9781388372137676
0.0,4,7.0,0.4666666666666667,0.4,0.9597848357145305
1.0,0,7.0,0.4666666666666667,0.4,0.4099685877595033
1.0,1,6.447368421052632,0.3684210526315789,0.47368421052631576,0.7161925504580514
1.0,2,7.85,0.55,0.35,0.9840155863022981
1.0,3,6.886363636363637,0.45454545454545453,0.4090909090909091,0.6931723985350167
1.0,4,7.730769230769231,0.5769230769230769,0.3076923076923077,0.970092048907735
