scenario,seed,value,ratio,oracle_value,actual_reward,n_init,立项年重心,立项年中位,立项年P25,立项年P75,与基线_Where重叠,与基线_When平移年
情景0 基线,0,6268.225752229325,0.9115767095327034,6876.246054424286,54633536.62495073,75,12.0,12.0,6.0,18.0,1.0,0.0
情景1 基础设施提前,0,5993.039918588239,0.9400157387850651,6375.467634546223,57070463.9619618,75,12.0,12.0,6.0,18.0,0.8292682926829268,-0.8676470588235294
情景2 更新压力增强,0,6436.70749080032,0.9199488332654175,6996.810320366202,60963166.24693979,75,12.0,12.0,6.0,18.0,0.8292682926829268,0.4264705882352941
