method,n,相对oracle,标准差,挑错单元,放错年份,Q与价值秩相关
Double-FQI,3,0.9035232925324005,0.0057906479104456315,118.51583728758305,544.8817417803433,0.8820613529649391
随机,3,0.7573542986328102,0.06067542721067427,458.6374440660784,1209.8541025830739,
静态/近视贪心,3,0.774522482643126,0.0,342.4076720434223,1208.031217043167,
时间感知贪心,3,0.8935554552319575,0.0,124.31574724035272,607.6231337358895,
oracle,3,1.0,0.0,0.0,0.0,
