组,n_run,n_initiated,n_ep,init_per_ep,CRH_T,ACD_T,ACD_T_p25,ACD_T_p50,ACD_T_p75,expire_rate_T,CRH_Teval,ACD_Teval,ACD_Teval_p25,ACD_Teval_p50,ACD_Teval_p75,expire_rate_Teval,expire_rate_uncond,LSR,slack_mean,late_share_y0,late_share_late,late_share_later,n_init_early,late_share_y0_years,cap_early_quota,cap_early_money,early_fill,early_binding,CRH_T_early,slack_mean_early,LSR_floor,LSR_excess,spend_ratio,idle_ratio,clipped_ratio,residual_ratio,released_ratio,decomp_sum,T来源,T_eval来源,budget来源,carry来源,tau_max来源,hazard来源,build_years来源,quota来源,quota,tau_max,T,T_eval,budget,carry_cap,hazard,build_years,目标_Gdp,目标_Eco,目标_Res,目标_Emp,目标_Aec,目标_E2r,目标_Cpt,目标_Floor,目标_Cost,目标_Disrupt,目标_Expire,标量层_折扣回报尾段均值,标量层_折扣回报尾段标准差
ablation,35,3450,175,19.714285714285715,0.27380504849942133,8.354594293518199,7.0,8.0,9.0,0.1870629614452473,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6985507246376812,-2.689754588119072,5,0.6985507246376812,0.6420289855072464,5.942857142857143,5,15.0,6.5889992360580605,0.9019362318840579,资金,0.6921144827721188,2.621588778659077,0.6657754010695187,0.032775323568162484,0.9973333333333333,0.002666666666666706,0.0,0.06933333333333333,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,900.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",2351.0185397477594,1635.4170421791864,-1302.7116445965205,898.3641758914043,2446.8324315584673,595.0147414606953,-2296.720237984439,3867631.5502146864,-4444.540096332176,-18749.796642197696,-3.397406649778728,0.7716873143399164,0.18684676235128486
budget1500,35,5651,175,32.29142857142857,0.3014897888647395,8.371170460048319,7.0,8.0,9.0,0.1974507778341698,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6682003185276942,-2.2914031356379163,5,0.6682003185276942,0.5956467881790833,10.714285714285714,5,15.0,10.909940382417446,0.9820663852162702,资金,0.6936751582691429,2.7176657017360006,0.6621412905816575,0.0060590279460367436,0.9866057142857143,0.013394285714285692,0.006590476190476191,0.0734704761904762,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,1500.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",3586.135769570611,2851.9417928925664,-2615.010248903394,1414.1392179951447,3677.417370218724,1278.7755270318016,-3482.9319016606228,6399234.889962271,-7247.375680578904,-23926.4880496669,-5.395926570764007,0.7172142981799765,0.2152971158727431
budget600,35,3390,175,19.37142857142857,0.26217441593447155,8.372063128782607,7.0,8.0,9.0,0.1808334371380417,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.7079646017699115,-2.867207454606183,5,0.7079646017699115,0.6533923303834809,5.6571428571428575,5,15.0,6.483901817022633,0.8724905183312264,资金,0.6933565829271301,2.6797667118370105,0.665285304430985,0.0426792973389265,0.9958730158730159,0.00412698412698409,0.0,0.0707936507936508,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,600.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",1446.8324625293822,1234.118447439998,-931.5982456353242,568.3976789909887,1553.5928995541863,120.99573645340278,-1559.017765724133,2635953.3340971493,-2943.96891586905,-13884.819268409114,-3.320356395117419,0.7458263802486057,0.21717198850591285
build3,35,3575,175,20.428571428571427,0.3812223856277376,6.428120180911434,5.0,6.0,7.0,0.19121382410662374,0.705983044653256,6.634977618257026,6.0,7.0,8.0,0.2940169553467441,0.29401695534674405,0.551048951048951,-0.5289356968653991,7,0.551048951048951,0.48391608391608393,9.17142857142857,7,21.0,9.562476117692015,0.9591060368203224,资金,0.6959980641365495,3.6135909353808597,0.5319067634696216,0.019142187579329395,0.9969523809523809,0.0030476190476190768,0.0,0.06971428571428571,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,24,900.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 3, ""2"": 3, ""3"": 3, ""5"": 3}",2483.3785351033457,1892.8336735821733,-1518.828593322496,960.2815691076306,2655.911087176418,752.3221859754465,-2536.3808859210703,4323031.03138754,-4918.636021507313,-11934.237684221158,-3.490456280146951,0.7423545660774843,0.16576725717813431
buildmix,35,3245,175,18.542857142857144,0.3675293751853819,6.58020997483151,5.0,6.0,8.0,0.18891382184837024,0.7059830446532561,6.8322041205682735,6.0,7.0,8.0,0.29401695534674405,0.29401695534674405,0.5701078582434514,-0.7891940825475136,7,0.5608628659476117,0.4899845916795069,8.142857142857142,7,21.0,8.676544236857964,0.9384908231397335,资金,0.6890861508186417,3.410016578928983,0.5320815896917893,0.038026268551662135,0.9973248677248677,0.002675132275132275,0.0,0.06934179894179894,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,900.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 3, ""3"": 5, ""5"": 3}",2453.26433974159,1932.04583056913,-1677.3324293837773,994.0561767699855,2350.232009404047,870.697674257193,-2656.610237912534,4323734.529040245,-4880.91337048268,-12647.780638366014,-3.236850007104617,0.7575416747420165,0.21121323255564578
carry1,35,3430,175,19.6,0.26500353398250903,8.349340512457312,7.0,8.0,9.0,0.1834391499830998,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.7128279883381924,-2.828876572316478,5,0.7128279883381924,0.6530612244897959,5.628571428571429,5,15.0,6.644425312096428,0.8471118515433383,资金,0.6929670903553361,2.6341327068121423,0.6609987085665088,0.05182927977168361,0.9832804232804233,0.01671957671957669,0.01671957671957672,0.06666666666666667,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,900.0,1.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",2137.11858666323,1665.7006090702173,-1236.9740216067178,832.7741333139398,2206.507013514193,483.87540346589066,-2189.3594235812243,3763629.7995411614,-4300.85736248959,-18386.784565044836,-3.4199294808990195,0.7396741097235293,0.20693995640142207
carry6,35,3792,175,21.66857142857143,0.2718002221068744,8.33202482110316,7.0,8.0,9.0,0.18957580586044018,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.709915611814346,-2.7240579269559833,5,0.709915611814346,0.6453059071729957,6.285714285714286,5,15.0,7.2519262397844475,0.8667647846761771,资金,0.6914140503538797,2.5833020653723633,0.6653251339761924,0.04459047783815362,0.9959915343915344,0.004008465608465572,0.0,0.07067513227513228,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,900.0,6.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",2236.898922631635,1678.9429279181415,-1364.2036525593346,865.4634007462224,2329.1847814752155,589.0549482751999,-2293.6386048120075,3856208.0540377283,-4389.958285340514,-17551.318697125855,-3.698220927352634,0.7665772436758735,0.1830151388899359
carryInf,35,3792,175,21.66857142857143,0.2718002221068744,8.33202482110316,7.0,8.0,9.0,0.18957580586044018,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.709915611814346,-2.7240579269559833,5,0.709915611814346,0.6453059071729957,6.285714285714286,5,15.0,7.2519262397844475,0.8667647846761771,资金,0.6914140503538797,2.5833020653723633,0.6653251339761924,0.04459047783815362,0.9959915343915344,0.004008465608465572,0.0,0.07067513227513228,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,900.0,999.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",2236.898922631635,1678.9429279181415,-1364.2036525593346,865.4634007462224,2329.1847814752155,589.0549482751999,-2293.6386048120075,3856208.0540377283,-4389.958285340514,-17551.318697125855,-3.698220927352634,0.7665772436758735,0.1830151388899359
main,35,3792,175,21.66857142857143,0.2646772685109253,8.33148539903971,7.0,8.0,9.0,0.18569900001462342,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.7178270042194093,-2.8242688974201187,5,0.7178270042194093,0.6558544303797469,6.114285714285714,5,15.0,7.340680897194332,0.8329316857544705,资金,0.6919042221246998,2.608918038184598,0.6612291252613376,0.05659787895807167,0.9839492063492064,0.01605079365079365,0.01307936507936508,0.06963809523809524,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,900.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",2200.5177184468403,1633.9482854466628,-1299.0813514510437,850.6688865814842,2285.9663833525096,516.6147273463554,-2240.5755500211258,3783411.170948697,-4312.5896413449755,-17415.452227534337,-3.721392525713791,0.7628213340389932,0.182613055509478
quota2,35,3925,175,22.428571428571427,0.294196146704435,8.370913556863947,7.0,8.0,9.0,0.1943882800317964,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.2940169553467441,0.29401695534674405,0.6764331210191082,-2.424601814187567,5,0.6764331210191082,0.6050955414012739,7.257142857142857,5,10.0,7.50207063520717,0.9673519765443331,资金,0.6936166069723682,2.665728693861984,0.665512774226432,0.010920346792676283,0.9965502645502645,0.0034497354497354804,0.0,0.07011640211640212,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,2,5,15,26,900.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",2290.375753367457,1699.7126290929068,-1543.9657864892501,902.2547929572681,2304.4721389260594,845.1036553762813,-2180.6409363728335,3887915.657784155,-4431.5897976746055,-17800.930314694066,-3.6369407763630845,0.7640033825498675,0.18557654225128037
