实施层指标,对比对象,分层数,每层样本数中位数,最小层样本数,组内分层平均相关r,解读
CRH_T,标量层_折扣回报,112,5,4,0.14390119637634102,接近 0：实施层携带标量层没有的信息
LSR,标量层_折扣回报,112,5,4,-0.08811583400132143,接近 0：实施层携带标量层没有的信息
expire_rate_T,标量层_折扣回报,105,5,4,0.1362675087301862,接近 0：实施层携带标量层没有的信息
idle_ratio,标量层_折扣回报,104,5,5,0.051057576411165234,接近 0：实施层携带标量层没有的信息
