,Gdp,Gdp,Eco,Eco,Res,Res,Emp,Emp,Aec,Aec,E2r,E2r,Cpt,Cpt,Floor,Floor,Cost,Cost,Disrupt,Disrupt,Expire,Expire,n_init,n_init,n_done_T,n_done_T,n_done_all,n_done_all,n_expire,n_expire,spend,spend,crh_T,crh_T,crh_all,crh_all
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myopic,8847.604624590838,1990.446330554914,285.82005435747584,78.0224014887257,-8164.0337703007535,1910.0251074507426,4389.988629808027,1021.9587246967344,436.56680202714153,37.4746723481406,2184.460962062638,1173.8668936506228,30.481765810864886,203.51121183156044,6910245.719852385,1430478.6478751528,-7589.198858733536,1545.0221332776525,-48375.88897756303,8251.79543149694,-14.836524863307725,1.2226047648810991,45.0,0.0,9.2,2.16794833886788,21.0,1.9999999999999998,24.0,1.9999999999999998,37030.0,0.0,0.20444444444444443,0.04817662975261954,0.4666666666666667,0.044444444444444405
greedy_crh,2677.7200431633887,478.6617250294957,249.9236992006634,63.18195649972644,-2533.175874022384,524.6428397633998,1295.1411170031242,243.21609809848093,195.98029493966223,56.816948009032636,525.1104701511229,543.2385952495669,329.9655315759327,94.88980983374695,2248044.4127143035,353793.36466381396,-2476.847126768871,375.5963113034173,-20171.929860454584,3897.4236037992564,-7.614771293351561,0.741666675447874,18.0,0.0,7.8,0.8366600265340756,7.8,0.8366600265340756,10.2,0.8366600265340757,9640.0,0.0,0.4333333333333333,0.0464811125852264,0.4333333333333333,0.0464811125852264
frontload,2456.6729477849867,434.78652087332733,242.06185343184129,66.01262426164266,-2352.965784786895,458.7219856095445,1186.7691996219442,224.44386558658482,188.29514032666265,54.465794833546525,280.5362536498445,492.688725952471,333.9156978260237,87.35045166529288,2075611.4020044901,287899.0923765536,-2282.8335390940397,303.7990395909152,-17468.495664306785,3941.8612077798944,-6.295648895624998,1.0277597585757576,15.0,0.0,6.8,1.3038404810405297,6.8,1.3038404810405297,8.2,1.30384048104053,8350.0,0.0,0.4533333333333333,0.08692269873603531,0.4533333333333333,0.08692269873603531
evenspread,1862.5137422287996,207.9620821663385,175.27201157375825,50.05013387203701,-1739.2326356503258,261.6958262963478,900.4119031644284,116.94847995048727,137.72728899285056,25.358531626353138,529.275232847824,397.86363719541583,262.7797815067009,84.86039344280982,1564405.0554197573,119418.72746641644,-1727.1930057806567,117.91164693085067,-15710.5460714959,2583.7527846764465,-4.96530755467953,0.8788601788923218,15.0,0.0,3.4,1.1401754250991378,6.8,1.3038404810405297,8.2,1.30384048104053,8350.0,0.0,0.22666666666666666,0.07601169500660919,0.4533333333333333,0.08692269873603531
backload,1470.9008414665082,260.32275072979945,144.93137323014966,39.52419660150905,-1408.8075321159347,274.6537976252104,710.5625581640231,134.3828331121419,112.73925599264699,32.61068329182312,167.96741785570936,294.99093977403885,199.92766288000075,52.29994207116739,1242745.2178844481,172375.8213790449,-1366.8167659878807,181.89570710822358,-10459.033627145933,2360.137914448631,-3.76943755028599,0.6153577321220243,15.0,0.0,0.0,0.0,6.8,1.3038404810405297,8.2,1.30384048104053,8350.0,0.0,0.0,0.0,0.4533333333333333,0.08692269873603531
oracle,10514.565495159402,0.0,437.3713652691973,0.0,-10070.277934952173,0.0,5215.895025287914,0.0,551.3698921942462,0.0,3426.801887539691,0.0,334.54410837073505,0.0,8322694.426997356,0.0,-9083.674497652257,0.0,-56204.36031188678,0.0,0.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,16250.0,0.0,1.0,0.0,1.0,0.0
