alpha,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
-1.0,1136.1446954736637,818.2757167437958,386.39891062127515,167.5204328049087,377.1906786884307,324.99204801419154,-3783.718450812842,7460194.897642506,-2730.444233817628,-18669.46616547756,-5.645609639758011
0.0,5150.024724228358,4195.678372488985,0.0,1060.5192651093676,6611.684494751005,-776.7478005949828,-2219.2838975244745,6547209.067560873,-3944.168279047106,-17485.78906867814,-3.578476572003985
0.5,6078.810041004826,0.0,-3066.5230446363867,3062.4250016964047,1179.5584443007458,-712.1000047570325,-1528.4669870504413,4563013.252527644,-2347.17616081058,-28067.813350190303,-5.458967809961485
1.0,3004.067060932047,2441.4234209109927,0.0,623.1906206606847,3820.0003332498404,-466.8551608573465,-2422.148632146401,3760632.669462706,-2277.4278652923736,-16869.829095343655,-5.3544525324682555
