year,n_cand,q_wait,q_best_act,unit_best,delta_wait
0,217,6075.640824953243,6184.091172413916,541,-108.45034746067267
1,214,5429.499891977887,5572.1675244522885,85,-142.66763247440122
2,211,4966.877179197,5196.061468231688,658,-229.18428903468794
3,208,4591.655339609556,4659.053936771457,658,-67.39859716190131
4,208,4228.071943950632,4327.098896215132,276,-99.02695226450032
5,218,3923.2157980364586,4055.367400814351,534,-132.15160277789255
6,236,3442.6913462724974,3581.233729624872,151,-138.5423833523746
7,250,3082.888487131601,3230.0343151238158,646,-147.1458279922149
