alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.3,1,-894.9357202717665,11274.869974469926,0.0,-1526.2860852783986,11352.186743005394,1526.2860852783983,-9662.524778950003,10653476.87524322,-12210.288682227188,0.0,-7.885751713985782,42.0,506.0,0.2,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.3,2,6513.767009226625,5303.829660771454,0.0,1357.2324735813122,12413.378891965554,-1167.7994174277737,-3152.162615728781,8398698.474721467,-11209.07819172966,-18013.65753236842,-7.907557528307285,42.0,444.0,0.2,0.0,0.9961728395061729,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.3,3,6671.222057889303,5661.34590396386,0.0,1303.0833170263502,10148.175768064359,-999.5025131052273,-2360.2619645448995,9222603.523369672,-12172.100531816852,-29703.993432015974,-5.995846293590084,32.0,450.0,0.8666666666666667,0.0,0.9991358024691358,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.3,4,-829.1389577620268,7994.726217394088,0.0,-1117.0272609608987,7875.395507194732,1077.1073486274956,-6269.370101810524,7796850.281507072,-8936.21808768719,-1835.8567038149577,-3.717142963859478,23.0,404.0,0.8,5.0,0.7980246913580247,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.5,0,7573.912495488327,5784.018516360694,0.0,1532.9892716818297,12885.327564470226,-1281.4943296116812,-2817.3216181838166,10135184.329657516,-13414.975353041871,-24974.58186084984,-7.781211313230678,40.0,448.0,0.3333333333333333,0.0,1.0,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.5,1,6815.68269629297,5367.891426205688,0.0,1396.8962563277623,14431.566755658632,-1245.196598452157,-3685.8963530890783,8986103.429986378,-11937.78004516809,-13047.65379957563,-8.177029841149295,45.0,441.0,0.0,0.0,0.9849382716049383,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.5,2,2878.171016358763,8570.16986829771,0.0,-125.49924917513071,10336.582404429599,326.8304475442387,-6228.226210040271,10147164.481530303,-12416.643770609091,-18329.32552071694,-7.166105164438028,41.0,482.0,0.26666666666666666,0.0,0.9996296296296296,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.5,3,6775.546175284374,5124.173153790542,0.0,1375.5348508187797,14117.154751058571,-1207.0979493718428,-3216.9069624272706,9103558.058562383,-12042.036351207917,-15967.107156768494,-8.238573259047165,45.0,448.0,0.0,0.0,0.9972839506172839,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.5,4,4276.348476997544,3347.014741888328,0.0,874.2763277813265,7116.75321452274,-700.4941330245692,-761.0517477332203,5660862.070398243,-7514.583741738208,-14336.940893955345,-3.152850525843042,16.0,196.0,0.8,8.0,0.43839506172839504,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.7,0,15662.388293782235,0.0,-12453.002682507533,7908.204892752767,617.6604571463013,4387.071434379594,-1321.286762026612,11907148.330167709,-13287.723779242258,-65468.40942066153,-7.676171452550077,41.0,487.0,0.26666666666666666,0.0,0.9987654320987654,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.7,1,13594.162436675248,349.1739842216274,-10752.808909855652,6705.179802734405,996.3356168706277,3504.356608725329,-1107.6387679899312,10660835.97838922,-11938.517406963627,-59004.3910113343,-7.075354149146449,37.0,484.0,0.5333333333333333,0.0,0.9997530864197531,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
