目标,结转1年,结转3年,结转6年,结转无上限,总额600,总额1500,总额1500+无上限
Gdp,0.5345048602019696,0.4425576459309825,0.43477991003790367,0.5409938399535819,0.6353392281474873,0.3820436716591403,0.4307558632445784
Eco,0.2969156176312775,0.42577494823133316,0.4843837903474763,0.37839777740744895,0.2586338787775152,0.38188913815231973,0.38011187001934565
Res,-0.5237208622896796,-0.5028844910530492,-0.5053349925418658,-0.6664436167750839,-0.6353801691726391,-0.5381459432983293,-0.583921426538682
Emp,0.49614645272778196,0.42051525666329537,0.4001480306578822,0.5267860704719265,0.597199344674865,0.38002874578876833,0.43710308656808344
Aec,1.1915387993025803,1.1623619636335198,1.2293387863781164,1.361915940348497,1.934328238301902,1.6091181263999081,1.772305085938703
E2r,-0.1754565009561863,-0.08073879573535701,-0.1065332378263257,-0.14517399404614306,-0.21563297787462332,-0.13072421640990145,-0.17353963565175407
Cpt,-0.00945872183766067,0.005055595609911486,0.003164641980881932,0.09718737266144542,-0.12086754030017156,0.22705242610781332,0.2166533424866676
Floor,-0.30052526305113286,-0.3421418111398604,0.5843411422979388,-0.11534653037315246,1.1444444930746678,0.4919221156247414,-0.23767308889114092
Cost,-0.09906941792357805,-0.12389163335923196,-0.12623964876789803,-0.12265418836117714,-0.027151765743818515,-0.1965931315113225,-0.14013511283220978
Disrupt,-0.2569007337964421,-0.21373337106637535,-0.22824424516762895,-0.13177561392910508,-0.3049650744649691,-0.12748690282893219,-0.15228759969611927
Expire,-0.29297361047495996,-0.29897135130812325,-0.30140870728632424,-0.23662447234394987,-0.09194266055283082,-0.14434790334386746,-0.1933379822053388
