,结转1年,结转3年,结转6年,结转无上限,总额600,总额1500,总额1500+无上限
Innovation,0.5217187243772404,0.43521018284175345,0.42323595024456323,0.53625791679303,0.6226259336566132,0.3813720297023497,0.4328716043524134
Livability,0.10397459118814097,0.13482056894626454,0.14381383812174584,0.13840300644649073,0.2659521582920443,0.25042986150777463,0.2682000639714879
Aesthetics,0.14372844789680841,0.21541527192062232,0.24377421616417913,0.23779257503444717,0.06888316923867183,0.3044707821300665,0.2983826062530066
Livability(剔除Aec),-0.33105109205763483,-0.27619598892863756,-0.29039614118080237,-0.3510021671143118,-0.40139827371189873,-0.29304544444907876,-0.3334419448153983
