组,利用率,前5年份额,p_前,后5年份额,p_后,重心年,p_重心
结转1年,0.9647195767195769,0.32744780656298805,0.00641165838987562,0.3047744036914647,0.023914680583590874,7.729586306933084,0.009149773861472733
结转3年,0.9116064358378141,0.35117296088395833,0.6127817658204485,0.29683226470886326,0.24832412807432816,7.562226883882163,0.5572770675068505
结转6年,0.8943884108789182,0.34695419660839444,0.37126074033530915,0.30690908803302425,0.03650703664130316,7.63809442556823,0.1645020031109653
结转无上限,0.9068275087887321,0.3509412878247922,0.445575235906237,0.3075204050575705,0.056538343436378875,7.608981991932961,0.19602095065703842
总额600,0.8946959560361408,0.3834875914822591,0.022130589682272172,0.2653495101140377,0.039575945607613766,7.2404632831745985,0.01142679662711356
总额1500,0.7197867715820223,0.36032615398497275,0.7093943887486575,0.2815692520144652,0.48705938464240056,7.4843917520495244,0.8405761808555953
总额1500+无上限,0.7746514346082185,0.3580381370953198,0.9280089157970133,0.2951010236650971,0.2750570672095859,7.546276611467121,0.6112450341266162
