组,权重,种子,落盘,复算_g0,复算_g01,判定
结转1年,0.0,0,1722896.4669805863,1722896.4669805863,5076815.354868567,growth=0（干净）
结转3年,0.0,0,2003738.2476295582,2003738.2476295582,6039049.030369711,growth=0（干净）
结转6年,0.0,0,5468503.265001035,1819975.6346187405,5468503.265001035,growth=0.1（污染）
结转无上限,0.0,0,1819975.6346187405,1819975.6346187405,5468503.265001035,growth=0（干净）
总额600,0.0,0,4928309.134152755,1630233.9468871779,4928309.134152754,growth=0.1（污染）
总额1500,0.0,0,9335543.515835678,3081309.3421136057,9335543.515835678,growth=0.1（污染）
总额1500+无上限,0.0,0,3192555.7694348902,3192555.7694348902,9356187.448676016,growth=0（干净）
