method,ratio,v_actual,v_best_timing,loss_unit,loss_timing,stop_freq,init_mean,n_init
PPO(随机初始化),0.9788731342282753,775.236774712387,775.236774712387,16.73181407064135,0.0,0.0,5.0,11.0
BC→PPO,0.9971961448450251,789.7480235727909,789.7480235727909,2.2205652102375097,0.0,0.0,5.0,11.0
BC(不经 PPO),1.0,791.9685887830284,791.9685887830284,0.0,0.0,0.0,5.0,11.0
近视贪心,1.0,791.9685887830284,791.9685887830284,0.0,0.0,0.0,5.0,11.0
随机,0.6809821652678228,539.3164844135687,776.8634111231352,15.10517765989323,237.5469267095665,0.0,5.0,11.0
