g_target,n,实测G,晚峰型最优年,择时准确率,晚峰型准确率,早峰型准确率,未退化,回报比,贪心参照,最优留空年数,立项重心,最优重心
0.05,3,0.050000000000000044,3.0,0.3333333333333333,0.0,0.5,1.0,0.9197167801732382,0.9312141109273059,5.0,1.0,3.3333333333333335
0.1,3,0.10000000000000009,4.0,0.3333333333333333,0.0,0.5,1.0,0.8667905850718222,0.8667905850718222,6.0,1.0,4.0
0.2,3,0.20000000000000018,4.0,0.3333333333333333,0.0,0.5,1.0,0.7648480082960042,0.7648480082960042,6.0,1.0,4.0
0.4,3,0.40000000000000036,5.0,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,0.6437588627938673,7.0,1.0,4.666666666666667
