seed,g_target,g_measured,shape,channel,shaping,n_units,slots,greedy_ratio,discriminative,oracle_idle_years,late_peak_opt_year,timing_acc,timing_acc_late,timing_acc_early,no_dump,ratio,init_mean,opt_mean,curve_last
0,0.05,0.050000000000000044,window,value,False,3,11,0.9312141109273059,False,5,3,0.3333333333333333,0.0,0.5,1.0,0.896722118665103,1.0,3.3333333333333335,229.80050371508602
1,0.05,0.050000000000000044,window,value,False,3,11,0.9312141109273059,False,5,3,0.3333333333333333,0.0,0.5,1.0,0.9312141109273059,1.0,3.3333333333333335,227.84222907333896
2,0.05,0.050000000000000044,window,value,False,3,11,0.9312141109273059,False,5,3,0.3333333333333333,0.0,0.5,1.0,0.9312141109273059,1.0,3.3333333333333335,226.99636522214752
0,0.1,0.10000000000000009,window,value,False,3,11,0.8667905850718222,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.8667905850718222,1.0,4.0,208.3544196666237
1,0.1,0.10000000000000009,window,value,False,3,11,0.8667905850718222,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.8667905850718222,1.0,4.0,207.1133757282438
2,0.1,0.10000000000000009,window,value,False,3,11,0.8667905850718222,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.8667905850718222,1.0,4.0,205.86311873298237
0,0.2,0.20000000000000018,window,value,False,3,11,0.7648480082960042,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.7648480082960042,1.0,4.0,177.77730798525636
1,0.2,0.20000000000000018,window,value,False,3,11,0.7648480082960042,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.7648480082960042,1.0,4.0,179.02772597666956
2,0.2,0.20000000000000018,window,value,False,3,11,0.7648480082960042,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.7648480082960042,1.0,4.0,178.52634286273135
0,0.4,0.40000000000000036,window,value,False,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,1.0,4.666666666666667,147.5217290712304
1,0.4,0.40000000000000036,window,value,False,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,1.0,4.666666666666667,152.70773742795217
2,0.4,0.40000000000000036,window,value,False,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,1.0,4.666666666666667,157.13850897078703
