alpha,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
-1.0,-59.94743599052258,140.77902108803318,296.8908599055243,-150.47528901998447,-1270.0990275691292,307.05233244703606,-1295.395229825068,3480727.738287112,-689.9207102674419,-12686.35126690865,-4.198436520820354
0.0,1763.7975299413902,1373.5001949411248,0.0,359.9721124843089,2301.9749039544085,-245.80065675817977,-1427.7147996380288,2329778.6227809424,-1352.1997457469483,-15806.498127203435,-5.516622750913288
0.5,3497.3345375943027,107.5505799657705,-1611.5227773881127,1719.280221206661,2809.3548143433245,-158.96752746356822,-1019.2627613407665,2723158.2145268307,-1428.9551044962363,-11171.635818104476,-2.3277648392424455
1.0,1879.0248967841544,0.0,-1187.5427895157052,945.7460992826861,1081.2189186290314,-471.0388071205819,-453.82598839416744,1409161.6879312024,-684.7725610778896,-12038.83367991574,-5.885562047943897
