method,n,相对oracle,标准差,挑错单元,放错年份,Q与价值秩相关
Double-FQI,1,0.9095202839186216,,132.9925649482193,489.16822576178856,0.881536321678416
随机,1,0.716462127152919,,388.2343005622979,1561.4418788822977,
静态/近视贪心,1,0.7745224826431258,,342.4076720434223,1208.031217043167,
时间感知贪心,1,0.8935554552319573,,124.31574724035272,607.6231337358895,
oracle,1,1.0,,0.0,0.0,
