iter,alpha=0.0,alpha=0.5,alpha=1.0
0,-0.10911092241861839,-0.042846551445543266,0.006426955175461361
1,-0.21172508491518455,-0.08194302633728098,0.046115665061539246
2,-0.14689785661004795,-0.10319839352435052,0.004076225467210673
3,-0.11541074331207037,-0.08276483101764381,0.030635454511790294
4,-0.18108522216932316,-0.07723926366318146,0.0924813663385732
5,-0.06955307039377975,-0.02151129430183859,0.05954492082212015
6,-0.09427056056822036,-0.032165009748571866,0.10190705316019497
7,-0.18117554782128473,0.0022636289543567605,0.06672010817049806
8,-0.10758046962340909,0.004026155534366489,0.04606985827260779
9,-0.13642563277808384,-0.019732388179718233,0.10333395297449105
10,-0.1665234281563467,-0.016990374620711943,0.08146965475304979
11,-0.038089741165215955,0.0021313733593325565,0.1615042582114931
12,-0.14770148502844252,-0.004240388247780979,0.0754958690579289
13,-0.10614804316606166,0.0007727893605390737,0.10216359151670433
14,-0.11105890181492539,0.048553310581524324,0.13765149138194313
15,-0.0814033376159022,0.06055476758649973,0.1497960414823817
16,-0.10096803307338259,-0.02461949885126872,0.12869678442267093
17,-0.03357529499855754,0.022279314286867972,0.17343900171015833
18,-0.05532622646732106,0.04616438046647762,0.19026841770164882
19,-0.028294192824444057,0.010006262090081448,0.2288716741531721
20,-0.06146028498525831,0.08377465270351497,0.2797874833735423
21,-0.06584492129409308,0.02876148138597303,0.22594656918334305
22,-0.0859935820763438,0.03179279237580117,0.2847520000896278
23,0.059131602863141355,0.04082681428959788,0.28258181718801473
24,-0.04709915025740443,0.045598207629911576,0.23095400639595487
25,-0.0031739131967010795,0.06931585885585649,0.218557612593495
26,0.007839032441719185,0.06633868350833519,0.2398880746317184
27,0.08544677631590372,0.07512483635966463,0.14590790957358432
28,0.04281590820601405,0.09033680947730365,0.32998084358309654
29,0.10549311853455323,0.08025837361268301,0.24609639692937543
30,0.1984474714535296,0.039287527947634564,0.36418724603709257
31,0.09120125330500192,0.11951023114020334,0.2969482038880068
32,0.17401455084317302,0.12272286767525394,0.3612984074388642
33,0.09078016481612611,0.024821516744228195,0.28702473428407255
34,0.13989905241942271,0.09865731236842257,0.37549484605672334
35,0.16673578337892392,0.15330049958263542,0.31121677337740955
36,0.04922916624308918,0.14725460283311842,0.2825567378987556
37,0.12922112619874726,0.13016359463860794,0.33841384178925066
38,0.1559543001926628,0.07624624154615245,0.33085420869759613
39,0.16645173441965144,0.1071169023684103,0.2910794491868052
40,0.17991860761830508,0.15024413054932034,0.42419265162196856
41,0.2532051314137458,0.12266878054841787,0.28360837954330986
42,0.1735952802918007,0.07698999974381991,0.3549398703330112
43,0.24038732934537577,0.10724916721109885,0.41365858520147303
44,0.23889232444882025,0.10270932914691858,0.407663941165896
45,0.1746316636670875,0.05836054998660435,0.35770683824433985
46,0.21296397991024657,0.08165946758920735,0.416059941579958
47,0.25310793059503406,0.12107362007489081,0.3420694149407625
48,0.18375888908914412,0.03802580526791967,0.3244331032299036
49,0.18560726419834322,0.17938832055193885,0.3890332948709644
50,0.17996446809675354,0.09982194568475593,0.41207862435616743
51,0.23780994135144673,0.10855154750624393,0.38360432394904687
52,0.3400456219740494,0.11605791088107975,0.455092207693828
53,0.23229331923683727,0.13447006361563685,0.43010781383521257
54,0.24756560967782398,0.13315335466432113,0.3901130864669374
55,0.27896074760602874,0.1053384846769596,0.4025217901376968
56,0.2506999983633486,0.12430140091887226,0.3486589366312958
57,0.2689093787026502,0.13785399218754169,0.4569824142930857
58,0.2820913424760392,0.11625060108133495,0.4429791107927357
59,0.22098966447892018,0.10251280536104518,0.40964825206734545
