,Gdp,Gdp,Eco,Eco,Res,Res,Emp,Emp,Aec,Aec,E2r,E2r,Cpt,Cpt,Floor,Floor,Cost,Cost,Disrupt,Disrupt,Expire,Expire,n_init,n_init,n_done_T,n_done_T,n_done_all,n_done_all,n_expire,n_expire,spend,spend,crh_T,crh_T,crh_all,crh_all
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myopic,14380.11365331037,1459.706530262352,1008.3814873201048,218.83748893714468,-12812.269021181046,1509.0846865494477,7016.639684657234,764.2730417164686,1118.198165203013,200.92115253885203,4625.659946735734,417.7029358732485,210.16172309433404,228.24696469225262,11365579.534626499,1022719.3744449788,-12634.46986390136,1086.3423439407352,-47746.070260380526,4772.188501102471,-7.818692884984759,1.9649818968525792,45.0,0.0,17.2,1.6431676725154984,30.8,3.6331804249169903,14.2,3.63318042491699,37105.0,0.0,0.38222222222222224,0.03651483716701107,0.6844444444444444,0.08073734277593311
greedy_crh,6673.603762942488,1009.7562023261447,375.85346391702063,98.2984766222771,-6323.279889567426,1151.4167083178058,3281.238759086415,526.1161659938439,380.956666012624,44.356508430706654,2569.3502041220154,555.6552834468187,429.6835177668016,191.95451602477314,5367027.287348062,731686.358067058,-5883.593419239213,759.3131151227667,-27750.899489592273,2080.3984608372434,-4.427802988032926,1.2735661613137248,21.0,0.0,14.2,2.16794833886788,14.4,1.8165902124584952,6.6,1.8165902124584952,13570.0,0.0,0.6761904761904762,0.10323563518418474,0.6857142857142857,0.0865042958313569
frontload,2516.512291983904,1290.703818994818,362.843627515062,111.12780784301333,-2293.4161441709043,1223.530182641173,1185.8314102905101,638.9503162368342,258.00701567423414,83.24527547034957,444.0897290019804,430.11060431904724,497.43443945504094,130.10349793200965,2229783.7454181383,1016724.6884584037,-2487.219161118978,1113.2017366236967,-16841.150728754168,3315.208538864373,-3.966060622012498,0.8870243864221737,15.0,0.0,9.2,1.3038404810405297,9.2,1.3038404810405297,5.8,1.3038404810405297,7460.0,0.0,0.6133333333333333,0.08692269873603528,0.6133333333333333,0.08692269873603528
evenspread,1686.1123484196833,551.8352786380661,308.43006282493116,51.1359249361464,-1466.8318785168208,631.389997460724,783.9207180189078,293.21097181710945,213.58664458319936,30.257548348103096,395.8336871325144,263.5819849735397,430.7732882217325,90.24052122959708,1561507.8591896382,385387.53775786504,-1758.8340398004336,393.9484687588155,-13744.239850142874,1575.2306897631286,-3.4190172863780077,0.5042001344248184,15.0,0.0,4.8,1.0954451150103321,8.6,0.8944271909999157,6.4,0.8944271909999157,7460.0,0.0,0.32,0.07302967433402216,0.5733333333333334,0.05962847939999439
backload,1506.7288672582,772.7920540482438,217.24788296051855,66.53632353219648,-1373.1529625607714,732.5727166203504,710.0010690500701,382.5631566690362,154.47833086681928,49.84202144117276,265.8929250898468,257.52310676395575,297.8323737510698,77.89777013601814,1335053.8948951443,608750.6280156786,-1489.1899877434246,666.5150005409199,-10083.41904058646,1984.937813496592,-2.3746269976576238,0.5310942661562134,15.0,0.0,0.0,0.0,9.2,1.3038404810405297,5.8,1.3038404810405297,7460.0,0.0,0.0,0.0,0.6133333333333333,0.08692269873603528
oracle,14781.183638278428,0.0,681.3503678871317,0.0,-13878.689409245086,0.0,7304.891563847462,0.0,838.5166146273741,0.0,5732.469493371582,0.0,485.8861176225366,0.0,11755170.645973096,0.0,-12891.118946928407,0.0,-53740.32461261697,0.0,0.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,22330.0,0.0,1.0,0.0,1.0,0.0
