iters,n,相对oracle,标准差,最低,挑错单元,放错年份,停用名额,环境奖励,与BC秩相关
0,2,0.84118559124371,0.03145592251252116,0.8189428951266277,278.2205568439099,813.826394752255,0.0,52876288.53392579,1.0
2,2,0.7944873090049811,0.005037181662186174,0.7909254836935807,342.6512133460333,1070.5046172425828,0.0,46782274.8294179,0.5569193850768654
10,2,0.7734822193396877,0.0172940308342732,0.7612534928627239,577.9905947174293,979.6014008049888,0.0,50794240.41845822,0.4863772028496438
50,2,0.7802443858762048,0.024484146543904645,0.7629314798234447,535.723112205731,975.3705623506016,0.0,48989691.83740269,0.42650768653918264
150,2,0.7774973751702263,0.036512828740630415,0.7516789063674234,533.6451135180437,996.3376825667351,0.02666666666666667,50136007.40926201,0.46019047619047626
400,2,0.6966564308004779,0.15405796989804613,0.5877209955897366,1188.3870643138907,897.4779565293029,0.20666666666666667,47311563.5056796,0.4882219722534684
