alpha,seed,trained_g,eval_g,n_initiated,first_year,last_year,mean_year,idle_years,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
0.5,2,0.0,0.1,23.0,0.0,14.0,8.0,0.0,2288.0881671337547,0.0,-1288.0857909821837,1154.5831796438347,1694.2326024620227,229.0476682169602,-420.0633771407879,5028206.714750627,-2017.513182147716,-20817.871690203872,-2.1548693179877967
0.5,3,0.0,0.1,22.0,0.0,14.0,7.318181818181818,0.0,2654.9840484280444,0.0,-1669.4449819359718,1345.9859626840346,3689.524498252128,581.8039300425152,-390.11039002845956,6094234.210756083,-2323.998697533138,-23498.053122597015,-1.7395274459303374
0.5,4,0.0,0.1,25.0,0.0,14.0,7.72,0.0,2556.382430875275,0.0,-1776.2810252095653,1292.777591855923,3626.3243864684555,731.5038193673636,-267.7375534945462,5943231.041624262,-2233.097014216735,-24287.436934887897,-2.6057484635382826
0.7,0,0.0,0.1,39.0,0.0,12.0,6.0,2.0,1177.9807613302964,0.0,-659.0352285451002,593.2387550346162,970.3327394352009,-480.85559774626597,-356.9783475534996,2708002.032819298,-1037.0890549760747,-17138.478022182473,-5.078073356856246
0.7,1,0.0,0.1,26.0,0.0,14.0,7.5,0.0,2751.1095436990827,0.0,-1786.5895229916605,1385.9649229325319,463.9947806679978,944.2255673914444,-640.1565558822724,6359956.432865369,-2381.767263837618,-30546.090766781235,-2.5309940202095875
0.7,2,0.0,0.1,24.0,0.0,14.0,8.208333333333334,0.0,2383.3864867261873,0.0,-1121.9056071071227,1205.4061997243994,2184.677555975592,-83.96500711035522,-493.9523921081785,5206449.086804284,-2143.4677182826517,-24006.19149107468,-2.115446353205633
0.7,3,0.0,0.1,20.0,0.0,14.0,7.35,0.0,2129.094872501168,0.0,-1067.1434772982607,1076.766854219135,1659.8091853089304,286.5425434588833,-422.71141028472056,4775619.3389412565,-1903.892005273951,-19993.182279384862,-2.4003066497949477
0.7,4,0.0,0.1,20.0,0.0,14.0,6.15,0.0,2702.797157972303,-24.95494153570686,-1983.0552163545497,1369.8302385561767,3593.18105844327,956.2634637421285,-303.3869846078933,6223766.848303983,-2324.2665682071747,-23539.35724493854,-2.4859561310295764
0.85,0,0.0,0.1,26.0,0.0,14.0,7.5,0.0,2791.552170491164,0.0,-1626.694204716671,1415.8038644840494,3606.568536193941,300.4938382745724,-503.7411699030249,6548933.203530043,-2471.2385247158454,-25335.79271451392,-2.1474219782268347
0.85,1,0.0,0.1,31.0,0.0,14.0,8.161290322580646,0.0,2427.4806164823594,-62.930384851705774,-1361.4579782735377,1239.4814592787052,3506.220052283285,36.86973625031262,-414.8316065937024,5609684.563512394,-2186.58731749144,-15603.168706131331,-3.1328391483802824
0.85,2,0.0,0.1,24.0,0.0,14.0,8.0,0.0,1375.8014094097489,0.0,-797.9077192817758,694.5320352663177,1594.137802587418,344.1051989813835,-163.88729339145806,6574965.29485876,-1942.8885983742725,-18890.16358083209,-2.3467256602615016
0.85,3,0.0,0.1,20.0,0.0,14.0,7.5,0.0,2456.9624584246358,0.0,-2278.922191601276,1246.7292566027556,3111.174134946122,1432.6958221552802,-311.0436859170627,5686927.990410187,-2030.522864165115,-22154.127689701145,-1.6633408395940807
0.85,4,0.0,0.1,23.0,0.0,14.0,8.130434782608695,0.0,2571.070564037726,0.0,-1355.7707382067158,1299.4811252515226,2353.650453163845,39.39501140051109,-471.20116994704966,5811336.910202104,-2286.3683857851584,-25082.678550477976,-2.0193570039282522
1.0,0,0.0,0.1,22.0,0.0,14.0,7.818181818181818,0.0,2274.9819741963265,0.0,-1168.2983590772756,1150.184946820672,2066.722897643673,-73.88455899596256,-430.6807153928736,5000136.497395104,-2028.974504007087,-24466.852896705732,-2.408928529365663
1.0,1,0.0,0.1,23.0,0.0,14.0,6.391304347826087,0.0,2976.378673856313,0.0,-2094.003915259451,1499.450003915707,873.6920165180172,904.0013593847773,-571.7507806406107,6664110.398820556,-2549.9360216937916,-41538.82673728588,-2.2207673781285564
1.0,2,0.0,0.1,45.0,0.0,14.0,7.0,0.0,1128.9230723372682,0.0,-821.750781191641,572.8864280442732,1741.0221068783546,-316.662922542869,-299.99886414597694,2602937.752821214,-970.6219640203213,-17476.416407602326,-4.801648281502975
1.0,3,0.0,0.1,26.0,0.0,14.0,7.269230769230769,0.0,2544.22483251684,0.0,-1928.4870951019614,1287.4699759948683,3080.582649695848,1036.1412779327147,-334.08894382927485,5833158.1018430665,-2167.6941044064183,-22579.710325711727,-2.819484106820014
