alpha,立项数_G0,立项数_G10,立项数_差,立项数_同号,均年_G0,均年_G10,均年_差,均年_同号,中位年_G0,中位年_G10,中位年_差,中位年_同号,可交付_中位时滞_G0,可交付_中位时滞_G10,可交付_中位时滞_差,可交付_中位时滞_同号
0.0,22.8,25.6,2.8,3/5,6.707,6.074,-0.633,3/5,6.6,5.8,-0.8,3/5,0.49,0.565,0.075,3/5
0.15,21.0,29.2,8.2,5/5,6.892,7.23,0.338,3/5,6.8,7.3,0.5,3/5,0.477,0.431,-0.046,3/5
0.3,24.6,22.8,-1.8,2/5,6.989,6.711,-0.278,4/5,7.1,6.6,-0.5,3/5,0.47,0.49,0.02,3/5
0.5,23.2,26.4,3.2,4/5,7.477,7.614,0.137,3/5,7.5,7.9,0.4,2/5,0.431,0.404,-0.027,3/5
0.7,25.8,24.8,-1.0,3/5,7.042,5.992,-1.049,4/5,7.2,6.0,-1.2,4/5,0.449,0.604,0.155,4/5
0.85,24.8,29.4,4.6,4/5,7.858,7.367,-0.491,4/5,8.4,7.4,-1.0,4/5,0.373,0.413,0.04,3/5
