年,真实份额,模型_a0,模型_a0.15,模型_a0.3,模型_a0.5,模型_a0.7,模型_a0.85,模型_a1
2010,0.2647058823529412,0.125,0.1044776119402985,0.11842105263157893,0.12500000000000003,0.11538461538461538,0.10937499999999999,0.10843373493975902
2011,0.058823529411764705,0.11111111111111112,0.1044776119402985,0.10526315789473682,0.109375,0.10256410256410256,0.09374999999999999,0.10843373493975902
2012,0.08823529411764706,0.125,0.13432835820895522,0.11842105263157893,0.109375,0.08974358974358973,0.09374999999999999,0.09638554216867469
2013,0.029411764705882353,0.09722222222222221,0.1044776119402985,0.10526315789473682,0.09375,0.10256410256410256,0.09374999999999999,0.09638554216867469
2014,0.058823529411764705,0.11111111111111112,0.13432835820895522,0.10526315789473682,0.109375,0.11538461538461538,0.078125,0.12048192771084336
2015,0.14705882352941177,0.09722222222222221,0.1044776119402985,0.11842105263157893,0.078125,0.11538461538461538,0.10937499999999999,0.10843373493975902
2016,0.08823529411764706,0.11111111111111112,0.08955223880597014,0.10526315789473682,0.15625,0.11538461538461538,0.140625,0.12048192771084336
2017,0.08823529411764706,0.11111111111111112,0.11940298507462686,0.10526315789473682,0.109375,0.1282051282051282,0.140625,0.12048192771084336
2018,0.17647058823529413,0.11111111111111112,0.1044776119402985,0.11842105263157893,0.109375,0.11538461538461538,0.140625,0.12048192771084336
