alpha,n_year_compared,spearman,p,real_front_share,model_front_share,L1_bin3,spearman_bin3,L1_bin5,spearman_bin5
0.0,9,0.3956282840374722,0.2918944691366462,0.411764705882353,0.3611111111111111,0.14052287581699346,1.0,0.1388888888888889,
0.15,9,-0.210870583918325,0.5860194503649149,0.411764705882353,0.34328358208955223,0.21597892888498688,-0.5,0.16417910447761191,
0.3,9,0.7961865632364444,0.010244902575389585,0.411764705882353,0.3421052631578947,0.18730650154798772,0.8660254037844387,0.10526315789473689,
0.5,9,0.29840153863690044,0.4354210949216034,0.411764705882353,0.34375,0.1360294117647059,0.5,0.09375,
0.7,9,0.42642718081261277,0.2523941171192679,0.411764705882353,0.3076923076923077,0.2081447963800906,-0.5,0.05128205128205121,
0.85,9,0.6195660763732613,0.07515587530822518,0.411764705882353,0.296875,0.2297794117647059,0.5,0.0625,
1.0,9,0.21385740494084637,0.5805977557384393,0.411764705882353,0.3132530120481928,0.19702338766832034,-0.5,0.060240963855421714,
