seed,g_target,g_measured,shape,channel,shaping,wa_feat,n_units,slots,greedy_ratio,discriminative,oracle_idle_years,late_peak_opt_year,timing_acc,timing_acc_late,timing_acc_early,no_dump,ratio,init_mean,opt_mean,curve_last
0,0.2,0.20000000000000018,window,value,False,True,3,11,0.7648480082960042,True,6,4,0.0,0.0,0.0,0.0,0.6590137320918263,1.0,4.0,181.01471091206102
1,0.2,0.20000000000000018,window,value,False,True,3,11,0.7648480082960042,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.7648480082960042,1.0,4.0,181.0721117447917
2,0.2,0.20000000000000018,window,value,False,True,3,11,0.7648480082960042,True,6,4,0.0,0.0,0.0,0.0,0.6590137320918263,1.0,4.0,182.19225053859532
0,0.4,0.40000000000000036,window,value,False,True,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,1.0,4.666666666666667,156.79672773660036
1,0.4,0.40000000000000036,window,value,False,True,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,1.0,4.666666666666667,151.48731567387398
2,0.4,0.40000000000000036,window,value,False,True,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,1.0,4.666666666666667,160.44103185217088
