组,自查1_CRH单调_违例运行数,自查1_通过,组池化_CRH_T,组池化_CRH_Teval,闭区间口径,自查2_LSR,自查2_起始年号,自查2_起始年及以后立项占比,自查2_再晚一年及以后立项占比,自查2_逐运行相关系数,自查2_同向
ablation,0,True,0.3073123189666007,0.705983044653256,False,0.6515259048970902,5,0.6515259048970902,0.589070262597587,1.0,True
budget1500,0,True,0.3014897888647395,0.705983044653256,False,0.6682003185276942,5,0.6682003185276942,0.5956467881790833,1.0,True
buildmix,0,True,0.398772586084196,0.705983044653256,False,0.5170660856935366,7,0.5112563543936093,0.45098039215686275,0.6343080426887274,True
bytype,0,True,0.2866150910089347,0.705983044653256,False,0.6904093394414068,5,0.6904093394414068,0.6187379932023053,1.0,True
bytypeAbl,0,True,0.2937777036625971,0.705983044653256,False,0.6771428571428572,5,0.6771428571428572,0.6121428571428571,0.9999999999999999,True
carry1,0,True,0.3015100805214166,0.7059830446532561,False,0.6647398843930635,5,0.6647398843930635,0.5960982658959537,1.0,True
main,0,True,0.3010005882515239,0.705983044653256,False,0.6635379061371841,5,0.6635379061371841,0.5978339350180505,1.0,True
poor,0,True,0.2646772685109253,0.7059830446532561,False,0.7178270042194093,5,0.7178270042194093,0.6558544303797469,1.0,True
poorAbl,0,True,0.27380504849942133,0.7059830446532561,False,0.6985507246376812,5,0.6985507246376812,0.6420289855072464,0.9999999999999999,True
quota2,0,True,0.299818502535526,0.7059830446532561,False,0.6666666666666666,5,0.6666666666666666,0.5998089780324737,1.0,True
richQ6,0,True,0.3099117118314855,0.705983044653256,False,0.6476648351648352,5,0.6476648351648352,0.5803571428571429,1.0,True
richQ6Abl,0,True,0.3113902051851044,0.705983044653256,False,0.6469833119383825,5,0.6469833119383825,0.579589216944801,1.0,True
staged,0,True,0.2903578161221273,0.705983044653256,False,0.6778339350180506,5,0.6778339350180506,0.6141516245487365,0.9999999999999999,True
statutory,0,True,0.23756448491636362,0.504674232,False,0.5963636363636363,6,0.5963636363636363,0.5316363636363637,1.0,True
tauA1,0,True,0.53315649867374,1.0,False,0.46684350132625996,7,0.5351458885941645,0.46684350132625996,0.9287468485008274,True
tauA5,0,True,0.29147785714285723,0.6723200000000001,False,0.6636904761904762,5,0.6636904761904762,0.5930059523809523,0.9999999999999999,True
