year,n_cand,q_wait,q_best_act,unit_best,q_frozen_pick,unit_frozen,delta_wait,delta_wait_vs_frozen,gap_frozen_pick
0,9,458.2324661812545,561.6326673202647,0,561.6326673202647,0,-103.40020113901016,-103.40020113901016,0.0
1,8,399.89775076532084,482.4668162523129,1,482.4668162523129,1,-82.56906548699209,-82.56906548699209,0.0
2,7,362.2927552131042,424.13210083637927,2,424.13210083637927,2,-61.83934562327505,-61.83934562327505,0.0
3,6,341.0850704461503,386.52710528416264,3,386.52710528416264,3,-45.44203483801232,-45.44203483801232,0.0
4,5,269.32400163762054,309.9723156877377,4,309.9723156877377,4,-40.648314050117165,-40.648314050117165,0.0
5,4,210.47559760119591,238.2112468792079,5,238.2112468792079,5,-27.735649278011977,-27.735649278011977,0.0
6,3,168.25642287295693,179.3628428427833,6,179.3628428427833,6,-11.106419969826362,-11.106419969826362,0.0
7,2,105.77520824019953,120.73755047381523,7,120.73755047381523,7,-14.9623422336157,-14.9623422336157,0.0
8,1,47.518872399141685,58.25633584105784,8,58.25633584105784,8,-10.737463441916155,-10.737463441916155,0.0
