alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.3,1,-939.8189010968617,12274.227580840328,0.0,-1666.8335899608035,12359.225069203283,1666.8335899608035,-10009.898538430138,11634498.457926411,-13334.668719686428,0.0,-7.100641236733324,46.0,500.0,1.0,0.0,0.9876543209876543,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.3,2,-1016.0892178813599,11472.194882332878,0.0,-1566.0869566964423,11523.988162411557,1564.9806325219165,-8941.161798598789,11238687.21425817,-12782.505615165952,-4180.334468425468,-7.7783700841949655,49.0,507.0,1.0,0.0,0.9985185185185185,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.3,3,6907.86869335906,5225.221766633268,0.0,1405.8312210203185,11210.507325650822,-1110.1580754671086,-2677.602533687591,9207895.085261658,-12206.881174406428,-25777.403814141966,-4.142362973835014,24.0,434.0,1.0,0.0,0.9688888888888889,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.3,4,-787.7998261519806,12273.469849270707,0.0,-1606.9171045007593,12456.086850293988,1622.0340900342057,-11038.664296769704,11973896.732435798,-13684.737212972255,-6921.443838618749,-11.984705514136738,76.0,507.0,0.6666666666666666,0.0,1.0,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.5,0,6839.41789687364,5093.485267250008,0.0,1376.8296912081048,10498.613442197331,-1070.0781826465752,-2399.335304461257,9122465.925843973,-12077.669486919509,-30503.0597055503,-6.096930788579536,34.0,448.0,1.0,0.0,1.0,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.5,2,7879.145867525071,6317.138405384542,-17.914512159598797,1633.4627130721983,16741.60308182871,-1460.4813700224495,-4456.920108410701,10443327.186261872,-13851.717485819154,-20236.13604193389,-8.702200762649387,58.0,447.0,0.8666666666666667,0.0,1.0,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.5,3,5487.782390453326,6847.641630525084,-93.26877559587233,838.2447523007461,15217.877819898586,-717.1023036487708,-5410.353461847949,10161253.714816561,-12925.24682668178,-17364.17673816502,-9.716347769592248,59.0,464.0,0.9333333333333333,0.0,0.9988888888888889,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.5,4,6929.840923836503,5246.801788951772,0.0,1403.7016124903396,11232.126477979324,-1143.7802320430533,-2715.3299640701866,9191514.185830783,-12185.536434579237,-26701.954365321377,-6.317138588185053,35.0,447.0,1.0,0.0,0.9990123456790123,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.7,0,14763.819584468696,0.0,-12673.226306381448,7443.395370794836,510.8290805013233,5599.387351045446,-1203.2770674100516,11153752.773214482,-12319.57471879854,-77172.89960409948,-6.01314904177446,36.0,490.0,1.0,0.0,1.0,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
