alpha,learned,learned_sd,random,best_hand,best_hand_score,gap_vs_hand,gap_vs_random,beats_hand,n_seeds_beating_hand
0.0,0.4583749199451935,0.08963032339554032,-0.16824260057614512,eco,0.3962856471259283,0.06208927281926524,0.6266175205213387,True,4
0.15,0.4080587370288634,0.02963271354438221,-0.10676577594202934,eco,0.32796784760227815,0.08009088942658527,0.5148245129708927,True,5
0.3,0.401025260280443,0.15476623606572493,-0.051052403617361894,big,0.27695751572295374,0.12406774455748926,0.4520776638978049,True,4
0.5,0.33741169901264845,0.10994496561521826,0.015585159359201106,big,0.25223425445523884,0.08517744455740961,0.3218265396534473,True,4
0.7,0.33832457903535895,0.1592109004569947,0.07481854867170155,emp,0.33570688074018024,0.0026176982951787164,0.2635060303636574,True,3
0.85,0.42472907824464057,0.03529068081167464,0.11509725340420188,emp,0.39501601139308073,0.029713066851559833,0.3096318248404387,True,4
1.0,0.4269070569182961,0.026618163838563774,0.15227759623420214,emp,0.44976290122652723,-0.02285584430823112,0.274629460684094,False,1
