alpha,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.0,25.6,163.2,0.8133333333333332,1.0,0.9619259259259259
0.15,23.6,167.2,0.8266666666666665,0.0,0.9943703703703705
0.3,21.4,161.8,0.9733333333333333,0.0,0.9988148148148148
0.5,23.2,166.0,0.8666666666666666,0.0,0.9994074074074074
0.7,32.0,149.2,0.5866666666666667,0.0,0.9202962962962964
0.85,31.4,182.0,0.64,0.0,0.9977777777777778
1.0,25.4,162.4,0.9066666666666666,0.0,0.9976296296296298
随机基线,,,,,
