policy,n,折现价值,相对oracle,缺口收窄率,立项数,立项重心,距峰值年MAE,距峰值1年内,距oracle年MAE,距oracle1年内,单元最优时序价值,放错年份损失,挑错单元损失,时序损失占比,P等待_明年更值,P等待_明年更差,等待对比度
PPO,1,5550.018984769868,0.8071292011429547,0.14461183927362786,75.0,12.0,5.386666666666667,0.5466666666666666,3.909090909090909,0.45454545454545453,6311.862033261791,761.8430484919227,564.3840211624947,0.5744438987287753,0.8076923076923077,0.898936170212766,-0.09124386252045824
近视贪心,1,5325.8071653376965,0.7745224826431258,0.0,75.0,12.0,6.466666666666667,0.29333333333333333,3.305084745762712,0.4406779661016949,6533.838382380864,1208.031217043167,342.4076720434223,0.779154357870148,0.8409090909090909,0.8673469387755102,-0.02643784786641923
随机,1,4926.56987497969,0.716462127152919,,75.0,12.0,7.52,0.24,4.625,0.22916666666666666,6488.011753861988,1561.4418788822977,388.2343005622979,0.800872419402029,0.9375,0.90625,0.03125
