iter,alpha=0.0,alpha=0.5,alpha=1.0
0,-0.45668840291980317,-0.08862119006882402,0.18506981435882722
1,-0.3574544659433011,-0.01277759662012104,0.1487328448824192
2,-0.15432061901381727,-0.041675633691316105,0.07110768853494949
3,-0.3340299937194443,0.006856978630213034,0.21844978579033358
4,-0.14337758027882405,-0.0515728233845822,0.13166729083271328
5,0.013868283482211866,-0.06964754384988739,0.172398696473301
6,-0.2405746036627461,0.0020693175178809788,0.2100780525753602
7,-0.22734159668463427,0.06924076285910588,0.1265412015420984
8,-0.12231685108079174,-0.0854203690775903,0.1754030731749031
9,-0.04483515135508197,0.03639387713198878,0.11136709138003603
10,-0.10497013820708487,0.041952347235917564,0.2599914347220368
11,-0.07691192029132929,0.041286618042410614,0.19515094413872958
12,-0.10553735476213666,0.12041463441399686,0.2436554675790918
13,-0.1466234358650461,0.07551797017765655,0.3132872746615475
14,-0.029902826854597414,0.11389265067743765,0.26972822590345324
15,-0.03960181442175815,0.14498418646305272,0.3130904558617425
16,-0.08943641842423809,0.08351677333196116,0.22550151746231142
17,-0.11559002144886799,0.0648077822886268,0.37776119390928287
18,0.01493214619605713,0.10013546165379772,0.3228387576225132
19,0.09658260689703246,0.19009122347493543,0.2333107260031717
20,-0.0553455703430424,0.06565835453893484,0.36524720364388474
21,-0.07940183859893876,0.12454850716072485,0.3078750778257818
22,-0.044721614009087,0.11266665393072577,0.3606468836143884
23,-0.025100108163903356,0.17731600731287972,0.4928998435558851
24,-0.08159494506874637,0.18273986012811164,0.43977400156642893
25,0.009877273652897877,0.2283825290690153,0.465364011977837
26,-0.006340301480898421,0.16786432365441936,0.5291996074312745
27,0.003683843039590344,0.20341489101516808,0.5258935337274293
28,0.05787968252643029,0.3258436075929656,0.5159405954723225
29,0.0596807587107626,0.21302296275781035,0.5861650963514013
30,0.1016899998763594,0.35687784593439986,0.5685818736917536
31,-0.058956599525827595,0.3140422988715914,0.498681123049595
32,0.11602986427352013,0.2734560042865454,0.5294483257588832
33,0.10833569520973341,0.2125501410832193,0.5312362451995996
34,-0.036123269376144615,0.17429681727975388,0.5415442123847097
35,0.006302834028536507,0.30826399796770176,0.7280019123931343
36,0.1260689653103306,0.2980189525915379,0.6038688857464478
37,0.10974497090326188,0.29087080566511514,0.5368082310073138
38,-0.028894773895077767,0.2988259752802077,0.5356643938735952
39,0.14111611167396548,0.2900008636589776,0.5670471137005557
40,0.20724264585144436,0.3654130482749983,0.6235785624649685
41,-0.039161190666025913,0.27389415981835485,0.4441803060059864
42,0.1924599240966702,0.1727259498627624,0.48172859942969515
43,0.12821974825563184,0.30406569427186025,0.5969174554083765
44,0.10249193683092364,0.30334620759365005,0.3778678776818535
45,0.11587781597778478,0.22723962009926812,0.4477503347295353
46,0.08111718665292784,0.2813693541084515,0.4543935578768068
47,-0.008062601004181907,0.21480515315462145,0.540981359288531
48,-0.010028640866152214,0.21381067690189148,0.6341111211777887
49,0.17632858312693492,0.26823574514235526,0.39672615573189596
50,0.13340571231686138,0.308211614238457,0.49083635727095937
51,0.27063819652681254,0.17447887152845726,0.32017709604983235
52,0.16676441455924654,0.2436239793516361,0.451998297452217
53,0.2769877033012367,0.34808468995002784,0.500669232207535
54,0.21910250190739886,0.3445073825660101,0.4513254754845279
55,0.13326325512125387,0.33392901523289914,0.4424694548327206
56,0.3306848613438229,0.4657150621168561,0.4622138049820044
57,0.3077133527039339,0.25318176902504,0.45962006828104607
58,0.24885253066670482,0.36930633019461184,0.5609430234636508
59,0.306408606760821,0.3605716217770023,0.5038423924433871
