seed,method,value,ratio,oracle_value,actual_reward,where_wrong,when_error,q_vs_value_rho,q_gap,n_samples,n_init
0,Double-FQI,6274.235058218046,0.9124506320103399,6876.246054424286,54425195.968929164,104.22740293087918,497.78359327536054,0.8822984682776538,33.95975842672253,30000.0,75
0,BC,5937.145354242966,0.8634282873607922,6876.246054424286,,260.33013121649856,678.770568964821,,,3150.0,75
0,随机,4926.56987497969,0.716462127152919,6876.246054424286,,388.2343005622979,1561.4418788822977,,,,75
0,静态/近视贪心,5325.8071653376965,0.7745224826431258,6876.246054424286,,342.4076720434223,1208.031217043167,,,,75
0,时间感知贪心,6144.307173448044,0.8935554552319573,6876.246054424286,,124.31574724035272,607.6231337358895,,,,75
0,oracle,6876.246054424286,1.0,6876.246054424286,,0.0,0.0,,,,75
1,Double-FQI,6232.059132906656,0.9063170636392294,6876.246054424286,55335868.582049996,131.37786136893465,512.8090601486956,0.8830042660901832,35.23184171334626,30000.0,75
1,BC,5631.2528514132755,0.8189428951266277,6876.246054424286,,296.11098247132304,948.8822205396873,,,3150.0,75
1,随机,5009.564836772671,0.7285319340120817,6876.246054424286,,653.4936028203247,1213.1876148312904,,,,75
1,静态/近视贪心,5325.8071653376965,0.7745224826431258,6876.246054424286,,342.4076720434223,1208.031217043167,,,,75
1,时间感知贪心,6144.307173448044,0.8935554552319573,6876.246054424286,,124.31574724035272,607.6231337358895,,,,75
1,oracle,6876.246054424286,1.0,6876.246054424286,,0.0,0.0,,,,75
2,Double-FQI,6094.712765092757,0.8863430303183119,6876.246054424286,51935483.729203895,147.9376031533884,633.5956861781406,0.8827132108744631,31.60199237744961,30000.0,75
2,BC,5883.624039466561,0.8556447795641262,6876.246054424286,,205.78437527813458,786.8376396795902,,,3150.0,75
2,随机,5687.1288115730395,0.82706883473343,6876.246054424286,,334.1844288156126,854.9328140356338,,,,75
2,静态/近视贪心,5325.8071653376965,0.7745224826431258,6876.246054424286,,342.4076720434223,1208.031217043167,,,,75
2,时间感知贪心,6144.307173448044,0.8935554552319573,6876.246054424286,,124.31574724035272,607.6231337358895,,,,75
2,oracle,6876.246054424286,1.0,6876.246054424286,,0.0,0.0,,,,75
3,Double-FQI,6219.9777793232515,0.904560094285925,6876.246054424286,58324134.92445194,116.15922342883005,540.1090516722043,0.8818704215590728,36.083861169361356,30000.0,75
3,BC,5881.402741791385,0.8553217402694886,6876.246054424286,,249.4424351827338,745.4008774501672,,,3150.0,75
3,随机,5098.096966490832,0.7414070011660847,6876.246054424286,,765.837601485443,1012.3114864480112,,,,75
3,静态/近视贪心,5325.8071653376965,0.7745224826431258,6876.246054424286,,342.4076720434223,1208.031217043167,,,,75
3,时间感知贪心,6144.307173448044,0.8935554552319573,6876.246054424286,,124.31574724035272,607.6231337358895,,,,75
3,oracle,6876.246054424286,1.0,6876.246054424286,,0.0,0.0,,,,75
4,Double-FQI,6202.781356371054,0.9020592496657514,6876.246054424286,53194994.90341922,111.7691790651752,561.6955189880564,0.8824757829914603,32.69797787233817,30000.0,75
4,BC,5762.589194705559,0.8380429014749723,6876.246054424286,,287.1012572881755,826.5556024305515,,,3150.0,75
4,随机,5067.73668546649,0.7369917605269269,6876.246054424286,,658.1225801642149,1150.3867887935812,,,,75
4,静态/近视贪心,5325.8071653376965,0.7745224826431258,6876.246054424286,,342.4076720434223,1208.031217043167,,,,75
4,时间感知贪心,6144.307173448044,0.8935554552319573,6876.246054424286,,124.31574724035272,607.6231337358895,,,,75
4,oracle,6876.246054424286,1.0,6876.246054424286,,0.0,0.0,,,,75
