seed,policy,value,ratio_oracle,gap_closure,n_init,init_mean,peak_mae,peak_med,peak_hit1,oracle_mae,oracle_med,oracle_hit1,p_wait_up,p_wait_dn,wait_contrast,n_up,n_dn,curve_first,curve_last
0,随机,2560.424947829925,0.3723579592068999,,74,11.91891891891892,7.54054054054054,6.0,0.16216216216216217,7.875,4.0,0.25,1.0,0.9949494949494949,0.005050505050505083,42,198,,
0,近视贪心,5098.591520874743,0.7414789233137212,0.0,75,12.0,6.466666666666667,6.0,0.26666666666666666,4.603448275862069,4.0,0.3448275862068966,0.8367346938775511,0.8795811518324608,-0.04284645795490971,49,191,,
0,PPO,2940.639840132403,0.4276519218273681,-1.2139319761041736,75,12.0,6.026666666666666,3.0,0.32,5.666666666666667,3.0,0.2777777777777778,1.0,0.9849246231155779,0.015075376884422065,41,199,82208745.88931236,78591197.44148177
1,随机,3355.9643028191963,0.4880518056301833,,75,12.0,6.8933333333333335,4.0,0.22666666666666666,8.619047619047619,9.0,0.23809523809523808,0.9523809523809523,0.98989898989899,-0.03751803751803762,42,198,,
1,近视贪心,5098.591520874743,0.7414789233137212,0.0,75,12.0,6.466666666666667,6.0,0.26666666666666666,4.603448275862069,4.0,0.3448275862068966,0.8367346938775511,0.8795811518324608,-0.04284645795490971,49,191,,
1,PPO,4373.556009653395,0.6360383230962743,-0.40786074995889565,75,12.0,5.8933333333333335,3.0,0.4,2.619047619047619,2.0,0.47619047619047616,0.9791666666666666,0.953125,0.02604166666666663,48,192,79914727.37377274,80370882.7938711
