policy,n,折现价值,相对oracle,缺口收窄率,立项数,立项重心,距峰值年MAE,距峰值1年内,距oracle年MAE,距oracle1年内,P等待_明年更值,P等待_明年更差,等待对比度
PPO,2,3657.0979248928993,0.5318451224618213,-0.8108963630315347,75.0,12.0,5.96,0.36,4.142857142857143,0.376984126984127,0.9895833333333333,0.969024811557789,0.020558521775544347
近视贪心,2,5098.591520874743,0.7414789233137212,0.0,75.0,12.0,6.466666666666667,0.26666666666666666,4.603448275862069,0.3448275862068966,0.8367346938775511,0.8795811518324608,-0.04284645795490971
随机,2,2958.1946253245605,0.4302048824185416,,74.5,11.95945945945946,7.216936936936937,0.19441441441441443,8.24702380952381,0.24404761904761904,0.9761904761904762,0.9924242424242424,-0.016233766233766267
