policy,seed,year,initiated,completed
greedy_crh,3,3,2,0
greedy_crh,3,4,3,0
greedy_crh,3,5,3,1
greedy_crh,3,6,3,2
greedy_crh,3,7,0,1
greedy_crh,3,8,0,0
greedy_crh,3,9,0,1
greedy_crh,3,10,0,3
greedy_crh,3,11,0,1
greedy_crh,3,12,0,1
greedy_crh,3,13,0,2
greedy_crh,3,14,0,1
greedy_crh,3,15,0,0
greedy_crh,3,16,0,0
greedy_crh,3,17,0,0
greedy_crh,3,18,0,0
greedy_crh,3,19,0,0
greedy_crh,3,20,0,0
greedy_crh,3,21,0,0
greedy_crh,3,22,0,0
greedy_crh,3,23,0,0
greedy_crh,3,24,0,0
greedy_crh,3,25,0,0
greedy_crh,4,0,3,0
greedy_crh,4,1,3,0
greedy_crh,4,2,3,0
greedy_crh,4,3,2,0
greedy_crh,4,4,3,0
greedy_crh,4,5,3,0
greedy_crh,4,6,3,2
greedy_crh,4,7,0,0
greedy_crh,4,8,0,2
greedy_crh,4,9,0,0
greedy_crh,4,10,0,1
greedy_crh,4,11,0,1
greedy_crh,4,12,0,1
greedy_crh,4,13,0,2
greedy_crh,4,14,0,2
greedy_crh,4,15,0,0
greedy_crh,4,16,0,0
greedy_crh,4,17,0,0
greedy_crh,4,18,0,0
greedy_crh,4,19,0,0
greedy_crh,4,20,0,0
greedy_crh,4,21,0,0
greedy_crh,4,22,0,0
greedy_crh,4,23,0,0
greedy_crh,4,24,0,0
greedy_crh,4,25,0,0
frontload,0,0,3,0
frontload,0,1,3,0
frontload,0,2,3,0
frontload,0,3,2,0
frontload,0,4,3,0
frontload,0,5,0,1
frontload,0,6,0,1
frontload,0,7,0,2
frontload,0,8,0,2
frontload,0,9,0,0
frontload,0,10,0,2
frontload,0,11,0,0
frontload,0,12,0,0
frontload,0,13,0,0
frontload,0,14,0,0
frontload,0,15,0,0
frontload,0,16,0,0
frontload,0,17,0,0
frontload,0,18,0,0
frontload,0,19,0,0
frontload,0,20,0,0
frontload,0,21,0,0
frontload,0,22,0,0
frontload,0,23,0,0
frontload,0,24,0,0
frontload,0,25,0,0
frontload,1,0,3,0
frontload,1,1,3,0
frontload,1,2,3,0
frontload,1,3,2,0
frontload,1,4,3,0
frontload,1,5,0,1
frontload,1,6,0,0
frontload,1,7,0,1
frontload,1,8,0,2
frontload,1,9,0,2
frontload,1,10,0,2
frontload,1,11,0,1
frontload,1,12,0,0
frontload,1,13,0,0
frontload,1,14,0,1
frontload,1,15,0,0
frontload,1,16,0,0
frontload,1,17,0,0
frontload,1,18,0,0
frontload,1,19,0,0
frontload,1,20,0,0
frontload,1,21,0,0
frontload,1,22,0,0
frontload,1,23,0,0
frontload,1,24,0,0
frontload,1,25,0,0
frontload,2,0,3,0
frontload,2,1,3,0
frontload,2,2,3,0
frontload,2,3,2,0
frontload,2,4,3,0
frontload,2,5,0,0
frontload,2,6,0,3
frontload,2,7,0,1
frontload,2,8,0,1
frontload,2,9,0,1
frontload,2,10,0,0
frontload,2,11,0,1
frontload,2,12,0,0
frontload,2,13,0,1
frontload,2,14,0,0
frontload,2,15,0,1
frontload,2,16,0,0
frontload,2,17,0,0
frontload,2,18,0,0
frontload,2,19,0,0
frontload,2,20,0,0
frontload,2,21,0,0
frontload,2,22,0,0
frontload,2,23,0,0
frontload,2,24,0,0
frontload,2,25,0,0
frontload,3,0,3,0
frontload,3,1,3,0
frontload,3,2,3,0
frontload,3,3,2,0
frontload,3,4,3,0
frontload,3,5,0,1
frontload,3,6,0,2
frontload,3,7,0,1
frontload,3,8,0,0
frontload,3,9,0,1
frontload,3,10,0,3
frontload,3,11,0,0
frontload,3,12,0,0
frontload,3,13,0,0
frontload,3,14,0,0
frontload,3,15,0,0
frontload,3,16,0,0
frontload,3,17,0,0
frontload,3,18,0,0
frontload,3,19,0,0
frontload,3,20,0,0
frontload,3,21,0,0
frontload,3,22,0,0
frontload,3,23,0,0
frontload,3,24,0,0
frontload,3,25,0,0
frontload,4,0,3,0
frontload,4,1,3,0
frontload,4,2,3,0
frontload,4,3,2,0
frontload,4,4,3,0
frontload,4,5,0,0
frontload,4,6,0,2
frontload,4,7,0,0
frontload,4,8,0,2
frontload,4,9,0,0
frontload,4,10,0,0
frontload,4,11,0,1
frontload,4,12,0,1
frontload,4,13,0,0
frontload,4,14,0,0
frontload,4,15,0,0
frontload,4,16,0,0
frontload,4,17,0,0
frontload,4,18,0,0
frontload,4,19,0,0
frontload,4,20,0,0
frontload,4,21,0,0
frontload,4,22,0,0
frontload,4,23,0,0
frontload,4,24,0,0
frontload,4,25,0,0
evenspread,0,0,1,0
evenspread,0,1,1,0
evenspread,0,2,1,0
evenspread,0,3,1,0
evenspread,0,4,1,0
evenspread,0,5,1,0
evenspread,0,6,1,1
evenspread,0,7,1,1
evenspread,0,8,1,0
evenspread,0,9,1,0
evenspread,0,10,1,2
evenspread,0,11,1,1
evenspread,0,12,1,0
evenspread,0,13,1,2
evenspread,0,14,1,0
evenspread,0,15,0,0
evenspread,0,16,0,1
evenspread,0,17,0,0
evenspread,0,18,0,0
evenspread,0,19,0,0
evenspread,0,20,0,1
evenspread,0,21,0,1
evenspread,0,22,0,0
evenspread,0,23,0,0
evenspread,0,24,0,0
evenspread,0,25,0,0
evenspread,1,0,1,0
evenspread,1,1,1,0
evenspread,1,2,1,0
evenspread,1,3,1,0
evenspread,1,4,1,0
evenspread,1,5,1,0
evenspread,1,6,1,1
evenspread,1,7,1,0
evenspread,1,8,1,0
evenspread,1,9,1,1
evenspread,1,10,1,0
evenspread,1,11,1,2
evenspread,1,12,1,0
evenspread,1,13,1,0
evenspread,1,14,1,0
evenspread,1,15,0,2
evenspread,1,16,0,1
evenspread,1,17,0,1
evenspread,1,18,0,1
evenspread,1,19,0,0
evenspread,1,20,0,0
evenspread,1,21,0,1
evenspread,1,22,0,0
evenspread,1,23,0,0
evenspread,1,24,0,0
evenspread,1,25,0,0
evenspread,2,0,1,0
evenspread,2,1,1,0
evenspread,2,2,1,0
evenspread,2,3,1,0
evenspread,2,4,1,0
evenspread,2,5,1,0
evenspread,2,6,1,0
evenspread,2,7,1,1
evenspread,2,8,1,2
evenspread,2,9,1,0
evenspread,2,10,1,1
evenspread,2,11,1,0
evenspread,2,12,1,1
evenspread,2,13,1,0
evenspread,2,14,1,1
evenspread,2,15,0,1
evenspread,2,16,0,0
evenspread,2,17,0,0
evenspread,2,18,0,0
evenspread,2,19,0,2
evenspread,2,20,0,0
evenspread,2,21,0,0
evenspread,2,22,0,0
evenspread,2,23,0,0
evenspread,2,24,0,0
evenspread,2,25,0,0
evenspread,3,0,1,0
evenspread,3,1,1,0
evenspread,3,2,1,0
evenspread,3,3,1,0
evenspread,3,4,1,0
evenspread,3,5,1,1
evenspread,3,6,1,0
evenspread,3,7,1,0
evenspread,3,8,1,1
evenspread,3,9,1,2
evenspread,3,10,1,0
evenspread,3,11,1,0
evenspread,3,12,1,0
evenspread,3,13,1,1
evenspread,3,14,1,0
evenspread,3,15,0,1
evenspread,3,16,0,1
evenspread,3,17,0,0
evenspread,3,18,0,1
evenspread,3,19,0,1
evenspread,3,20,0,0
evenspread,3,21,0,0
evenspread,3,22,0,0
evenspread,3,23,0,0
evenspread,3,24,0,0
evenspread,3,25,0,0
evenspread,4,0,1,0
evenspread,4,1,1,0
evenspread,4,2,1,0
evenspread,4,3,1,0
evenspread,4,4,1,0
evenspread,4,5,1,0
evenspread,4,6,1,0
evenspread,4,7,1,1
evenspread,4,8,1,1
evenspread,4,9,1,0
evenspread,4,10,1,0
evenspread,4,11,1,1
evenspread,4,12,1,0
evenspread,4,13,1,1
evenspread,4,14,1,0
evenspread,4,15,0,0
evenspread,4,16,0,0
evenspread,4,17,0,1
evenspread,4,18,0,1
evenspread,4,19,0,1
evenspread,4,20,0,0
evenspread,4,21,0,0
evenspread,4,22,0,0
evenspread,4,23,0,0
evenspread,4,24,0,0
evenspread,4,25,0,0
backload,0,0,0,0
backload,0,1,0,0
backload,0,2,0,0
backload,0,3,0,0
backload,0,4,0,0
backload,0,5,0,0
backload,0,6,0,0
backload,0,7,0,0
backload,0,8,0,0
backload,0,9,0,0
backload,0,10,3,0
backload,0,11,3,0
backload,0,12,3,0
backload,0,13,2,0
backload,0,14,2,0
backload,0,15,0,1
backload,0,16,0,1
backload,0,17,0,2
backload,0,18,0,3
backload,0,19,0,0
backload,0,20,0,1
backload,0,21,0,0
backload,0,22,0,0
backload,0,23,0,0
backload,0,24,0,0
backload,0,25,0,0
backload,1,0,0,0
backload,1,1,0,0
backload,1,2,0,0
backload,1,3,0,0
backload,1,4,0,0
backload,1,5,0,0
backload,1,6,0,0
backload,1,7,0,0
backload,1,8,0,0
backload,1,9,0,0
backload,1,10,3,0
backload,1,11,3,0
backload,1,12,3,0
backload,1,13,2,0
backload,1,14,2,0
backload,1,15,0,1
backload,1,16,0,0
backload,1,17,0,1
backload,1,18,0,1
backload,1,19,0,2
backload,1,20,0,2
backload,1,21,0,0
backload,1,22,0,0
backload,1,23,0,0
backload,1,24,0,0
backload,1,25,0,0
backload,2,0,0,0
backload,2,1,0,0
backload,2,2,0,0
backload,2,3,0,0
backload,2,4,0,0
backload,2,5,0,0
backload,2,6,0,0
backload,2,7,0,0
backload,2,8,0,0
backload,2,9,0,0
backload,2,10,3,0
backload,2,11,3,0
backload,2,12,3,0
backload,2,13,2,0
backload,2,14,2,0
backload,2,15,0,0
backload,2,16,0,3
backload,2,17,0,1
backload,2,18,0,1
backload,2,19,0,2
backload,2,20,0,1
backload,2,21,0,0
backload,2,22,0,0
backload,2,23,0,0
backload,2,24,0,0
backload,2,25,0,0
backload,3,0,0,0
backload,3,1,0,0
backload,3,2,0,0
backload,3,3,0,0
backload,3,4,0,0
backload,3,5,0,0
backload,3,6,0,0
backload,3,7,0,0
backload,3,8,0,0
backload,3,9,0,0
backload,3,10,3,0
backload,3,11,3,0
backload,3,12,3,0
backload,3,13,2,0
backload,3,14,2,0
backload,3,15,0,1
backload,3,16,0,2
backload,3,17,0,1
backload,3,18,0,1
backload,3,19,0,1
backload,3,20,0,2
backload,3,21,0,0
backload,3,22,0,1
backload,3,23,0,0
backload,3,24,0,0
backload,3,25,0,0
backload,4,0,0,0
backload,4,1,0,0
backload,4,2,0,0
backload,4,3,0,0
backload,4,4,0,0
backload,4,5,0,0
backload,4,6,0,0
backload,4,7,0,0
backload,4,8,0,0
backload,4,9,0,0
backload,4,10,3,0
backload,4,11,3,0
backload,4,12,3,0
backload,4,13,2,0
backload,4,14,2,0
backload,4,15,0,0
backload,4,16,0,2
backload,4,17,0,0
backload,4,18,0,1
backload,4,19,0,0
backload,4,20,0,2
backload,4,21,0,2
backload,4,22,0,0
backload,4,23,0,0
backload,4,24,0,0
backload,4,25,0,0
oracle,0,0,3,0
oracle,0,1,3,0
oracle,0,2,3,0
oracle,0,3,2,0
oracle,0,4,3,0
oracle,0,5,3,3
oracle,0,6,3,3
oracle,0,7,2,2
oracle,0,8,2,2
oracle,0,9,3,3
oracle,0,10,0,3
oracle,0,11,0,3
oracle,0,12,0,1
oracle,0,13,0,3
oracle,0,14,0,4
oracle,0,15,0,0
oracle,0,16,0,0
oracle,0,17,0,0
oracle,0,18,0,0
oracle,0,19,0,0
oracle,0,20,0,0
