项目,区,计划名,街道,公告年,审批年,拆除面积,FAR,时滞年
福田区梅林街道华强激光工厂城市更新单元规划,福田,华强激光工厂城市更新单元,梅林街道,2015.5,2018,31755.6,5.998421468034728,2.5
福田区园岭街道八卦岭平安大厦城市更新单元规划,福田,八卦岭平安大厦城市更新单元,园岭街道,2018.5,2018,7232.0,9.254758727259956,-0.5
福田区华强北街道南方日报深圳大厦城市更新单元规划,福田,南方日报深圳大厦城市更新单元,华强北街道,2016.75,2018,7226.5,9.233788243689235,1.25
福田区香蜜湖街道南天电力城市更新单元规划,福田,南天电力城市更新单元,香蜜湖街道,2013.8333333333333,2018,40829.7,9.209383145091225,4.1666666666667425
福田区莲花街道景田金泰市场城市更新单元规划,福田,景田金泰市场城市更新单元,莲花街道,2017.9166666666667,2019,4755.6,9.108772819472618,1.0833333333332575
福田区梅林街道上梅林美视地块城市更新单元规划,福田,上梅林美视地块城市更新单元,梅林街道,2018.1666666666667,2019,7278.56,8.935657099591985,0.8333333333332575
福田区福保街道福田保税区综合服务中心更新单元规划,福田,华泰小区更新单元,莲花街道,2010.25,2019,11473.1,10.311526096007686,8.75
福田区沙头街道天安数码城城市更新单元规划（二次上会）,福田,天安数码城城市更新单元,沙头街道,2016.0833333333333,2020,49939.2,8.201159066646333,3.9166666666667425
福田区沙头街道天安数码城城市更新单元规划（二次上会）,福田,天安数码城城市更新单元,沙头街道,2016.0833333333333,2020,49939.2,8.201159066646333,3.9166666666667425
福田区园岭街道八卦岭上林苑城市更新单元规划,福田,八卦岭上林苑城市更新单元,园岭街道,2017.9166666666667,2021,7980.0,6.980649022476394,3.0833333333332575
福田区园岭街道八卦岭智联泰产业园城市更新单元规划,福田,八卦岭智联泰产业园城市更新单元,园岭街道,2018.3333333333333,2021,15847.8,8.17374260488033,2.6666666666667425
福田区园岭街道一致药业城市更新单元规划,福田,一致药业城市更新单元,园岭街道,2014.75,2021,19638.7,14.587568303463195,6.25
福田区福田街道福田村城市更新单元规划,福田,福田村城市更新单元,福田街道,2016.75,2022,220964.9,10.929575843424194,5.25
罗湖区南湖街道江西经贸小区城市更新单元规划,罗湖,罗湖区南湖街道江西经贸小区城市更新单元,南湖街道,2018.5,2018,4940.0,8.334865853409347,-0.5
罗湖区清水河街道峰晟创谷-华润智地文创中心城市更新单元规划,罗湖,罗湖区清水河街道华润智地文创中心城市更新单元,清水河街道,2017.0833333333333,2018,14530.9,6.850131966914404,0.9166666666667425
罗湖区笋岗-清水河片区04子单元奥康德地块城市更新单元规划,罗湖,罗湖区笋岗-清水河片区04子单元奥康德地块城市更新单元,笋岗街道,2017.0833333333333,2018,3464.9,9.610167071255177,0.9166666666667425
罗湖区桂园街道蔡屋围城市更新统筹片区更新单元规划,罗湖,华泰小区更新单元,莲花街道,2010.25,2018,302647.1,13.704893456447143,7.75
罗湖区清水河街道清水河国际汽车物流产业园城市更新单元规划(调整),罗湖,清水河国际汽车物流产业园更新单元,清水河街道,2010.25,2018,23327.71,18.397140090013103,7.75
罗湖区东湖街道布心村水围村城市更新单元规划,罗湖,水围村城市更新单元,福田街道,2014.9166666666667,2019,111994.4,11.114867299540741,4.0833333333332575
罗湖区翠竹街道特发保税黄金珠宝产业中心城市更新单元规划 ,罗湖,罗湖区翠竹路特发保税黄金珠宝产业中心更新单元,翠竹街道,2011.5,2020,18179.1,8.60119691398082,8.5
罗湖区清水河街道生命健康创新基地城市更新单元规划（二次上会）,罗湖,清水河生命健康创新基地城市更新单元计划,清水河街道,2017.3333333333333,2021,44006.5,11.898736978782425,3.6666666666667425
罗湖区清水河街道中溢地块城市更新单元规划,罗湖,罗湖区清水河街道中溢地块城市更新单元,清水河街道,2018.6666666666667,2022,13072.7,8.050469122791611,3.3333333333332575
　龙华区观湖街道向西村商业地块城市更新单元规划,龙华,向西村商业地块城市更新单元,观湖办事处,2016.6666666666667,2018,20563.4,6.007107811398397,1.3333333333332575
龙华区大浪街道国大木器城市更新单元,龙华,国大木器城市更新单元(范围调整),大浪街道,2018.25,2018,19643.7,7.7769444491792665,-0.25
龙华区大浪街道上下横朗城市更新单元规划,龙华,上下横朗城市更新单元,大浪办事处,2016.0833333333333,2019,133792.0,6.534390097538294,2.9166666666667425
龙华区清湖街道富多肯城市更新单元规划,龙华,清湖富多肯城市更新单元,龙华区龙华街道,2017.5833333333333,2019,23496.4,11.799405401589256,1.4166666666667425
龙华区水斗老围村城市更新单元（二次上会）,龙华,水斗老围村城市更新单元,龙华街道,2018.1666666666667,2020,54428.0,7.345774316976573,1.8333333333332575
龙华区龙华街道中航幕墙工业园城市更新单元规划（二次上会）,龙华,中航幕墙工业园城市更新单元,龙华办事处,2016.0833333333333,2020,17298.5,6.469415367086805,3.9166666666667425
龙华区龙华街道龙华商业中心城市更新单元规划,龙华,龙华商业中心,龙华街道,2010.25,2020,343258.8,8.258936675357853,9.75
龙华区龙华街道彬峰桂工业园城市更新单元规划,龙华,彬峰桂工业园城市更新单元,龙华街道,2018.1666666666667,2020,72884.0,8.067453792217789,1.8333333333332575
龙华区观澜街道田心村城市更新单元规划,龙华,罗湖区田心村改造项目,笋岗街道,2010.3333333333333,2020,60169.5,5.9039130274404865,9.666666666666742
