policy,n,折现价值,相对oracle,缺口收窄率,立项数,立项重心,距峰值年MAE,距峰值1年内,距oracle年MAE,距oracle1年内,单元最优时序价值,放错年份损失,挑错单元损失,时序损失占比,P等待_明年更值,P等待_明年更差,等待对比度
PPO,1,5883.62403946656,0.8556447795641261,0.35977998104619946,75.0,12.0,6.026666666666666,0.4,2.3114754098360657,0.5901639344262295,6670.461679146151,786.8376396795911,205.78437527813458,0.7926860656149173,0.7692307692307693,0.7925531914893617,-0.02332242225859238
时间感知贪心,1,6144.307173448044,0.8935554552319573,,75.0,12.0,6.1866666666666665,0.4266666666666667,2.5238095238095237,0.5238095238095238,6751.930307183933,607.6231337358895,124.31574724035272,0.8301555628872408,0.6428571428571429,0.7336956521739131,-0.09083850931677018
近视贪心,1,5325.8071653376965,0.7745224826431258,0.0,75.0,12.0,6.466666666666667,0.29333333333333333,3.305084745762712,0.4406779661016949,6533.838382380864,1208.031217043167,342.4076720434223,0.779154357870148,0.8409090909090909,0.8673469387755102,-0.02643784786641923
随机,1,5687.1288115730395,0.82706883473343,,75.0,12.0,6.56,0.3466666666666667,3.519230769230769,0.40384615384615385,6542.061625608673,854.9328140356338,334.1844288156126,0.7189642730145679,0.94,0.868421052631579,0.07157894736842096
