seed,stop_context,drop_no_choice,advantage,action_mode,p_stop_given_wa_pos,p_stop_given_wa_neg,n_years_wa_pos,stop_logit_gap_mean,stop_logit_gap_max,g_target,g_measured,shape,channel,shaping,wa_feat,n_units,slots,greedy_ratio,discriminative,oracle_idle_years,late_peak_opt_year,timing_acc,timing_acc_late,timing_acc_early,no_dump,ratio,init_mean,opt_mean,curve_last
0,False,True,mc,now,0.4,,5,-1.5761819283167522,3.8557004928588867,0.2,0.20000000000000018,window,value,False,False,3,11,0.7648480082960042,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.832469368860175,1.6666666666666667,4.0,209.62951810583684
1,False,False,gae,now,0.0,,3,-2.9487618605295816,0.0,0.2,0.20000000000000018,window,value,False,False,3,11,0.7648480082960042,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.7648480082960042,1.0,4.0,179.02772597666956
2,False,False,gae,now,0.0,,3,-3.5049684842427573,0.0,0.2,0.20000000000000018,window,value,False,False,3,11,0.7648480082960042,True,6,4,0.3333333333333333,0.0,0.5,1.0,0.7648480082960042,1.0,4.0,178.52634286273135
0,False,True,mc,now,0.8888888888888888,1.0,9,2.5604434808095298,13.438407897949219,0.4,0.40000000000000036,window,value,False,False,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.4139158639021916,0.0,4.666666666666667,245.8279422406184
1,False,False,gae,now,0.0,,3,-2.918421904246012,0.0,0.4,0.40000000000000036,window,value,False,False,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,1.0,4.666666666666667,152.70773742795217
2,False,False,gae,now,0.0,,3,-3.106569210688273,0.0,0.4,0.40000000000000036,window,value,False,False,3,11,0.6437588627938673,True,7,5,0.3333333333333333,0.0,0.5,1.0,0.6437588627938673,1.0,4.666666666666667,157.13850897078703
