seed,policy,value,v_actual,v_best_timing,loss_timing,loss_selection,share_timing,ratio_oracle,gap_closure,n_init,init_mean,peak_mae,peak_med,peak_hit1,oracle_mae,oracle_med,oracle_hit1,p_wait_up,p_wait_dn,wait_contrast,n_up,n_dn,curve_first,curve_last
0,随机,4926.56987497969,4926.56987497969,6488.011753861988,1561.4418788822977,388.2343005622979,0.800872419402029,0.716462127152919,,75,12.0,7.52,6.0,0.24,4.625,4.0,0.22916666666666666,0.9375,0.90625,0.03125,48,192,,
0,近视贪心,5325.8071653376965,5325.8071653376965,6533.838382380864,1208.031217043167,342.4076720434223,0.779154357870148,0.7745224826431258,0.0,75,12.0,6.466666666666667,6.0,0.29333333333333333,3.305084745762712,3.0,0.4406779661016949,0.8409090909090909,0.8673469387755102,-0.02643784786641923,44,196,,
0,PPO,5650.952002954237,5650.952002954237,6434.734179201556,783.7821762473186,441.51187522272994,0.6396686373421748,0.8218077070290882,0.20971148228105496,75,12.0,5.84,2.0,0.48,3.5625,2.0,0.4583333333333333,0.88,0.8789473684210526,0.001052631578947416,50,190,122186187.09631309,127517481.3437491
