seed,policy,value,v_actual,v_best_timing,loss_timing,loss_selection,share_timing,ratio_oracle,gap_closure,n_init,init_mean,peak_mae,peak_med,peak_hit1,oracle_mae,oracle_med,oracle_hit1,p_wait_up,p_wait_dn,wait_contrast,n_up,n_dn,curve_first,curve_last
0,随机,4926.56987497969,4926.56987497969,6488.011753861988,1561.4418788822975,388.2343005622979,0.800872419402029,0.716462127152919,,75,12.0,7.52,6.0,0.24,4.625,4.0,0.2291666666666666,0.9375,0.90625,0.03125,48,192,,
0,近视贪心,5325.8071653376965,5325.8071653376965,6533.838382380864,1208.031217043167,342.4076720434223,0.779154357870148,0.7745224826431258,0.0,75,12.0,6.466666666666667,6.0,0.2933333333333333,3.305084745762712,3.0,0.4406779661016949,0.8409090909090909,0.8673469387755102,-0.0264378478664192,44,196,,
0,PPO,5650.952002954237,5650.952002954237,6434.734179201556,783.7821762473186,441.51187522272994,0.6396686373421748,0.8218077070290882,0.2097114822810549,75,12.0,5.84,2.0,0.48,3.5625,2.0,0.4583333333333333,0.88,0.8789473684210526,0.0010526315789474,50,190,122186187.09631307,127517481.3437491
1,随机,5009.564836772671,5009.564836772671,6222.752451603961,1213.1876148312904,653.4936028203247,0.6499168703039426,0.7285319340120817,,75,12.0,7.946666666666666,7.0,0.2133333333333333,4.531914893617022,3.0,0.3191489361702128,0.9375,0.8958333333333334,0.0416666666666666,48,192,,
1,近视贪心,5325.8071653376965,5325.8071653376965,6533.838382380864,1208.031217043167,342.4076720434223,0.779154357870148,0.7745224826431258,0.0,75,12.0,6.466666666666667,6.0,0.2933333333333333,3.305084745762712,3.0,0.4406779661016949,0.8409090909090909,0.8673469387755102,-0.0264378478664192,44,196,,
1,PPO,5581.612559598379,5581.612559598379,6317.760903787851,736.1483441894716,558.4851506364348,0.5686152468104217,0.8117237974646183,0.1649890208903272,75,12.0,6.053333333333334,2.0,0.4266666666666667,3.272727272727273,2.0,0.4545454545454545,0.9230769230769232,0.8723404255319149,0.0507364975450082,52,188,123051371.66289638,124301077.91617727
2,随机,5687.1288115730395,5687.1288115730395,6542.061625608673,854.9328140356338,334.1844288156126,0.7189642730145679,0.82706883473343,,75,12.0,6.56,3.0,0.3466666666666667,3.519230769230769,2.0,0.4038461538461538,0.94,0.868421052631579,0.0715789473684209,50,190,,
2,近视贪心,5325.8071653376965,5325.8071653376965,6533.838382380864,1208.031217043167,342.4076720434223,0.779154357870148,0.7745224826431258,0.0,75,12.0,6.466666666666667,6.0,0.2933333333333333,3.305084745762712,3.0,0.4406779661016949,0.8409090909090909,0.8673469387755102,-0.0264378478664192,44,196,,
2,PPO,5197.991949016547,5197.991949016547,6071.951835046585,873.9598860300384,804.2942193777008,0.5207553988480821,0.755934547407895,-0.0824380871899115,75,12.0,6.24,2.0,0.4533333333333333,3.959183673469388,2.0,0.3469387755102041,0.9347826086956522,0.9123711340206184,0.0224114746750336,46,194,126264842.42154723,124712129.19181104
