iter,alpha=0.0,alpha=0.15,alpha=0.3,alpha=0.5,alpha=0.7,alpha=0.85,alpha=1.0
0,-0.3758907792374809,-0.22631435776940736,-0.09076072581396588,0.07137204966215041,0.2154900723075871,0.31349032770648416,0.40395210192085057
1,-0.9597649778548791,-0.609383021765214,-0.5309215396545173,-0.20412145365835746,0.08911730306523233,0.3035140673683914,0.4577930805702446
2,-0.7479664974142144,-0.3383793047497536,-0.26000405352445227,-0.2581925511508176,0.06433552353113074,0.05724916642728197,0.2921654933729807
3,-0.5739809745652752,-0.2390993904243846,0.09124197673317354,-0.0049296237220991,0.295893878681899,0.19865361389886943,0.29516170274966
4,-0.670346248077935,-0.5174432825248075,-0.0162978826820055,0.082504720548555,0.2475706218144666,0.17252240923277506,0.24939509499824036
5,-0.5544403740328413,-0.5016779491919209,-0.12785316630426913,-0.03509675632480104,0.021164496768053372,0.1297274571224352,0.42546963249082254
6,-0.09489198061235532,-0.4027441942237958,-0.05669939214874099,-0.1560363312282134,0.2640253874184748,0.29822894306332304,0.3952298801773255
7,-0.16522768688948847,-0.2836463026561911,0.006484331070172683,-0.031777025853109195,0.43377235832547784,0.5099782451391874,0.23977933836387777
8,-0.10960634562788239,-0.16688559785867838,0.029044143760236465,0.08981148750927082,0.25473362243397385,0.7017217455850955,1.1033254075374073
9,-0.5904069088497459,0.01636459661036735,-0.03913903781406727,0.34807204004511916,0.14474827472380833,0.42474685793936395,0.8993808003488163
10,-0.4593234104595538,-0.0890667992445076,0.15517172298860066,0.2326427941385536,0.2467518568258592,0.6350220690531792,0.898214880384424
11,0.040741669451510185,0.376549669267623,0.18270589764225886,0.45851867769973953,0.21139147517266466,0.7927039104943627,0.8829924201861059
12,-0.0923621723057499,0.05821198321992925,0.2280166643128951,0.33825003412842286,0.4183619867496381,1.0004647151292059,0.7814786143294071
13,0.20633621188532159,0.15747377027181858,0.12806296639129686,0.2183702857274734,0.4835909296226969,0.8340667948221407,0.8974036040519245
14,-0.06454338652821401,0.3969815780047167,0.31841608397510873,0.359339945189219,0.6117075892619206,0.7394239666758635,0.9181276833043064
15,-0.23111138406158932,0.4788603210008304,0.4655234372639368,0.3688817331891533,0.6524480196739173,0.8048944039388489,0.8495507581436978
16,0.2072947784693564,0.21252081653000782,0.34494948236714557,0.1629678173893114,0.5447868418087329,0.8868634374604392,0.8072023916839834
17,-0.06382993768466728,0.5762804192086484,0.3886172160450625,0.20728163326764956,0.6934352650054169,0.9442699464900642,0.9742741992920771
18,0.03813023669214256,0.577192591661239,0.31426182897633526,0.17225732316685627,0.4339048809417818,0.9846766663782343,0.9299994753494724
