alpha,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
-1.0,377.8289892190706,1351.0086170835839,967.6715966504364,-263.49373870151766,-857.9810690896809,944.2448270342095,-4893.52942122943,7387410.349634239,-3032.0890381387107,-14370.421636422649,-6.056177591801238
0.0,923.571844063899,13940.447144932808,0.0,-1285.414990175979,14820.290628999903,1383.1155364790943,-9061.983909429593,14893561.465596978,-6859.835828439568,-6043.856131638566,-5.047675008443791
0.15,10851.89983676492,8221.824995086146,0.0,2202.3317026836094,13046.478699106987,-1603.8825947863425,-5542.683544493587,14131387.897889296,-8418.484736945762,-38348.34727394585,-4.712548822931071
0.3,-1119.9503676204943,12680.888506539055,0.0,-1723.0039455333276,12766.710524000959,1723.003945533328,-10171.75301670678,12026567.539822629,-5169.011836599983,0.0,-5.573967210694292
0.5,21677.28594657669,0.0,-14820.41981190081,10937.035082869348,9554.616798423252,595.5780837874402,-2720.7507693510665,16296182.27347533,-7737.829442027924,-43168.90915756308,-5.733198124110743
0.7,21018.677298477094,-414.71867351507865,-14595.333397742283,10638.458990848607,10403.945085579348,1744.0205309362113,-2097.436318439305,16172033.780456126,-7596.957377685906,-42021.794205165024,-5.521065824863778
0.85,21331.711529128203,0.0,-14658.143980932873,10768.892503713241,10548.876933765265,1139.7186664492708,-2561.8607145831065,16045649.83053273,-7607.94233997688,-44518.06034456494,-5.242557052547125
1.0,20310.402697434904,-3738.2296264670867,-13901.756471607772,10798.669415944478,7294.407481826063,776.2479255493898,-3294.461835863681,17294526.557094738,-7857.775532508965,-36251.32371454854,-5.614080336229987
